ano_mes,categoria_produto,canal,meta_faturamento
2023-11,Roupas,Site,559683
2023-11,Roupas,App,506447
2023-11,Casa,Site,503521
2023-11,Casa,App,232507
2023-11,Beleza,Site,549450
2023-11,Beleza,App,650587
2023-12,Eletrônicos,Site,424976
2023-12,Eletrônicos,App,511245
2023-12,Roupas,Site,429270
2023-12,Roupas,App,506632
2023-12,Casa,Site,306167
2023-12,Casa,App,794657
2023-12,Beleza,Site,714797
2023-12,Beleza,App,481598
2024-01,Eletrônicos,Site,236680
2024-01,Eletrônicos,App,388133
2024-01,Roupas,Site,591052
2024-01,Roupas,App,630915
2024-01,Casa,Site,786004
2024-01,Casa,App,424406
2024-01,Beleza,Site,442844
2024-01,Beleza,App,505320
2024-02,Eletrônicos,Site,311218
2024-02,Eletrônicos,App,326208
2024-02,Roupas,Site,600539
2024-02,Roupas,App,351783
2024-02,Casa,Site,730910
2024-02,Casa,App,673611
2024-02,Beleza,Site,393059
2024-02,Beleza,App,460120
2024-03,Eletrônicos,Site,334798
2024-03,Eletrônicos,App,463337
2024-03,Roupas,Site,547987
2024-03,Roupas,App,771449
2024-03,Casa,Site,606059
2024-03,Casa,App,537136
2024-03,Beleza,Site,719720
2024-03,Beleza,App,312788
2024-04,Eletrônicos,Site,614518
2024-04,Eletrônicos,App,363449
2024-04,Roupas,Site,245524
2024-04,Roupas,App,355285
2024-04,Casa,Site,700568
2024-04,Casa,App,585673
2024-04,Beleza,Site,620742
2024-04,Beleza,App,726848
2024-05,Eletrônicos,Site,552079
2024-05,Eletrônicos,App,731040
2024-05,Roupas,Site,522765
2024-05,Roupas,App,764951
2024-05,Casa,Site,430726
2024-05,Casa,App,236396
2024-05,Beleza,Site,456230
2024-05,Beleza,App,514597
2024-06,Eletrônicos,Site,752210
2024-06,Eletrônicos,App,238472
2024-06,Roupas,Site,260401
2024-06,Roupas,App,278277
2024-06,Casa,Site,579328
2024-06,Casa,App,763484
2024-06,Beleza,Site,637543
2024-06,Beleza,App,663433
2024-07,Eletrônicos,Site,598337
2024-07,Eletrônicos,App,721704
2024-07,Roupas,Site,509533
2024-07,Roupas,App,496614
2024-07,Casa,Site,663679
2024-07,Casa,App,758157
2024-07,Beleza,Site,570902
2024-07,Beleza,App,604116
2024-08,Eletrônicos,Site,250292
2024-08,Eletrônicos,App,722432
2024-08,Roupas,Site,749616
2024-08,Roupas,App,510386
2024-08,Casa,Site,404775
2024-08,Casa,App,207115
2024-08,Beleza,Site,662878
2024-08,Beleza,App,768820
2024-09,Eletrônicos,Site,253753
2024-09,Eletrônicos,App,395011
2024-09,Roupas,Site,326963
2024-09,Roupas,App,689424
2024-09,Casa,Site,564348
2024-09,Casa,App,262010
2024-09,Beleza,Site,513001
2024-09,Beleza,App,799202
2024-10,Eletrônicos,Site,501670
2024-10,Eletrônicos,App,461499
2024-10,Roupas,Site,396534
2024-10,Roupas,App,436740
2024-10,Casa,Site,558558
2024-10,Casa,App,521123
2024-10,Beleza,Site,295100
2024-10,Beleza,App,712505
2024-11,Eletrônicos,Site,464946
2024-11,Eletrônicos,App,676118
2024-11,Roupas,Site,530492
2024-11,Roupas,App,206534
2024-11,Casa,Site,284967
2024-11,Casa,App,399369
2024-11,Beleza,Site,723624
2024-11,Beleza,App,677691
2024-12,Eletrônicos,Site,750519
2024-12,Eletrônicos,App,536625
2024-12,Roupas,Site,687162
2024-12,Roupas,App,421239
2024-12,Casa,Site,658000
2024-12,Casa,App,522656
2024-12,Beleza,Site,550417
2024-12,Beleza,App,385434
