id_estoque,id_produto,centro_distribuicao,estoque_atual,estoque_reservado,estoque_minimo,data_posicao
167,167,CD-SP,481,55,28,2026-01-20
168,168,cd_sp,450,55,16,2026-01-19
169,169,CD-RJ,514,78,39,2026-01-12
170,170,CD-MG,475,55,42,2026-01-22
171,171,CD-RJ,254,31,10,2026-01-09
172,172,CD-MG,265,31,34,2026-01-07
173,173,CD-MG,563,43,6,2026-02-02
174,174,CD-RJ,486,23,36,2026-01-18
175,175,CD-RJ,197,33,26,2026-01-19
176,176,CD-RJ,266,71,5,2026-01-20
177,177,cd_sp,509,10,20,2026-01-29
178,178,CD-MG,396,71,20,2026-01-21
179,179,CD-MG,467,57,6,2026-01-21
180,180,CD-RJ,75,28,30,2026-01-25
181,181,CD-RJ,229,74,28,2026-01-16
182,182,CD-RJ,464,54,40,2026-01-25
183,183,CD-RJ,318,58,22,2026-01-11
184,184,CD-RJ,293,29,12,2026-01-16
185,185,CD-RJ,177,15,39,2026-01-23
186,186,cd_sp,169,27,35,2026-01-30
187,187,CD-RJ,263,12,17,2026-01-05
188,188,cd_sp,283,46,16,2026-01-27
189,189,CD-SP,289,68,13,2026-01-29
190,190,CD-SP,260,6,40,2026-01-17
191,191,cd_sp,279,62,11,2026-01-27
192,192,CD-RJ,-8,60,35,2026-02-03
193,193,CD-RJ,431,23,8,2026-01-28
194,194,CD-MG,238,14,9,2026-01-26
195,195,CD-MG,390,9,41,2026-01-16
196,196,cd_sp,34,19,41,2026-01-15
197,197,CD-SP,291,31,12,2026-01-24
198,198,CD-MG,551,77,43,2026-01-17
199,199,CD-MG,211,57,33,2026-01-25
200,200,CD-MG,284,39,41,2026-01-15
201,201,CD-SP,41,26,45,2026-01-28
202,202,CD-RJ,196,10,15,2026-02-02
203,203,cd_sp,225,70,9,2026-01-14
204,204,CD-SP,140,52,33,2026-01-20
205,205,CD-MG,588,37,7,2026-01-18
206,206,CD-RJ,217,36,49,2026-01-06
207,207,CD-SP,444,29,21,2026-01-12
208,208,cd_sp,583,54,12,2026-01-29
209,209,cd_sp,537,19,22,2026-02-03
210,210,CD-SP,125,7,15,2026-02-01
211,211,CD-RJ,294,56,12,2026-01-07
212,212,CD-RJ,459,51,22,2026-01-23
213,213,CD-MG,492,56,10,2026-01-24
214,214,CD-SP,592,55,25,2026-01-14
215,215,CD-RJ,598,3,10,2026-01-05
216,216,CD-SP,214,34,41,2026-02-03
217,217,cd_sp,21,60,38,2026-02-03
218,218,CD-RJ,432,23,42,2026-01-17
219,219,CD-MG,426,11,35,2026-01-08
220,220,CD-MG,336,42,25,2026-01-22
221,221,cd_sp,87,42,31,2026-01-29
222,222,CD-RJ,487,51,40,2026-01-15
223,223,CD-MG,17,11,25,2026-01-10
224,224,CD-RJ,238,14,30,2026-01-15
225,225,CD-SP,506,69,34,2026-01-05
226,226,CD-SP,403,24,38,2026-01-18
227,227,CD-MG,350,80,33,2026-01-06
228,228,cd_sp,32,34,40,2026-01-22
229,229,CD-RJ,114,56,49,2026-01-21
230,230,CD-SP,476,3,45,2026-01-18
231,231,cd_sp,225,39,40,2026-01-24
232,232,CD-MG,-6,11,19,2026-01-13
233,233,CD-MG,96,15,46,2026-01-12
234,234,CD-MG,137,37,37,2026-01-30
235,235,CD-MG,259,61,35,2026-01-05
236,236,CD-MG,229,70,14,2026-01-23
237,237,cd_sp,372,76,37,2026-01-29
238,238,CD-SP,119,35,31,2026-01-29
239,239,CD-RJ,328,0,23,2026-01-11
240,240,CD-MG,285,19,33,2026-01-18
241,241,CD-MG,531,44,26,2026-01-06
242,242,CD-MG,545,58,25,2026-01-31
243,243,cd_sp,173,73,29,2026-01-07
244,244,CD-MG,219,5,25,2026-01-14
245,245,CD-MG,464,49,47,2026-01-06
246,246,CD-MG,135,4,13,2026-01-14
247,247,CD-RJ,494,12,33,2026-01-22
248,248,CD-MG,82,1,14,2026-01-10
249,249,cd_sp,399,9,35,2026-01-06
250,250,CD-RJ,251,79,49,2026-01-16
251,251,CD-SP,387,42,48,2026-01-25
252,252,CD-MG,526,40,45,2026-01-29
253,253,CD-SP,479,79,9,2026-01-15
254,254,CD-RJ,220,29,10,2026-01-05
255,255,CD-SP,424,12,33,2026-01-05
256,256,CD-RJ,150,3,7,2026-01-31
257,257,CD-SP,312,37,27,2026-01-05
258,258,CD-MG,363,18,20,2026-01-27
259,259,CD-MG,523,72,48,2026-01-14
260,260,cd_sp,164,22,10,2026-01-07
261,261,cd_sp,371,63,42,2026-01-13
262,262,cd_sp,126,59,45,2026-01-05
263,263,CD-MG,240,32,47,2026-01-27
264,264,CD-MG,-11,36,48,2026-01-23
265,265,cd_sp,539,9,33,2026-01-19
266,266,CD-RJ,333,54,49,2026-01-07
267,267,CD-MG,236,38,17,2026-01-17
268,268,CD-MG,373,13,20,2026-01-10
269,269,CD-RJ,370,73,23,2026-01-25
270,270,CD-SP,282,50,22,2026-01-09
271,271,CD-SP,-12,77,36,2026-02-01
272,272,cd_sp,273,77,27,2026-01-15
273,273,cd_sp,204,79,21,2026-01-06
274,274,CD-SP,120,80,46,2026-01-27
275,275,CD-RJ,20,56,7,2026-01-24
276,276,CD-RJ,573,16,10,2026-01-17
277,277,CD-RJ,282,53,16,2026-01-23
278,278,cd_sp,185,69,28,2026-01-21
279,279,CD-RJ,523,21,21,2026-01-24
280,280,CD-RJ,473,43,12,2026-01-21
281,281,CD-SP,459,18,19,2026-01-19
282,282,CD-RJ,386,11,30,2026-01-25
283,283,CD-RJ,-6,68,12,2026-01-19
284,284,CD-RJ,445,33,42,2026-01-05
285,285,CD-RJ,370,13,48,2026-01-13
286,286,CD-MG,219,3,44,2026-01-12
287,287,CD-RJ,554,78,19,2026-02-01
288,288,CD-MG,44,38,46,2026-01-30
289,289,CD-SP,398,17,7,2026-01-07
290,290,CD-RJ,18,63,12,2026-01-15
291,291,cd_sp,79,68,13,2026-01-09
292,292,CD-MG,377,47,47,2026-01-24
293,293,CD-MG,533,75,14,2026-01-17
294,294,CD-SP,404,62,44,2026-01-07
295,295,CD-RJ,397,4,49,2026-01-14
296,296,cd_sp,359,56,33,2026-02-02
297,297,CD-RJ,221,12,48,2026-01-30
298,298,CD-RJ,356,7,30,2026-01-23
299,299,cd_sp,262,15,34,2026-01-15
300,300,cd_sp,73,76,6,2026-01-28
301,301,CD-RJ,31,31,13,2026-01-13
302,302,cd_sp,558,8,40,2026-01-06
303,303,cd_sp,192,29,26,2026-02-01
304,304,CD-SP,131,35,14,2026-01-28
305,305,CD-RJ,113,22,12,2026-01-17
306,306,cd_sp,6,1,27,2026-01-31
307,307,CD-RJ,223,2,16,2026-01-10
308,308,CD-SP,251,16,31,2026-01-21
309,309,CD-SP,518,8,35,2026-02-02
310,310,CD-RJ,439,65,42,2026-01-21
311,311,CD-MG,91,64,19,2026-01-24
312,312,CD-RJ,24,58,46,2026-01-19
313,313,CD-SP,11,61,30,2026-02-02
314,314,CD-SP,416,62,50,2026-01-18
315,315,CD-SP,434,10,25,2026-01-11
316,316,CD-SP,131,16,22,2026-01-10
317,317,CD-RJ,579,48,43,2026-01-09
318,318,CD-RJ,523,58,37,2026-01-12
319,319,CD-MG,599,12,49,2026-01-28
320,320,cd_sp,97,55,33,2026-01-11
321,321,CD-MG,213,43,34,2026-01-26
322,322,CD-MG,388,12,25,2026-02-01
323,323,CD-RJ,417,32,28,2026-01-26
324,324,CD-MG,136,8,10,2026-02-03
325,325,CD-SP,67,55,11,2026-01-20
326,326,cd_sp,361,71,8,2026-01-31
327,327,CD-RJ,580,15,31,2026-01-27
328,328,CD-MG,342,6,23,2026-01-15
329,329,CD-RJ,594,45,11,2026-01-16
330,330,cd_sp,571,19,47,2026-01-31
331,331,cd_sp,473,13,27,2026-01-24
332,332,CD-RJ,549,14,22,2026-01-31
333,333,cd_sp,567,54,40,2026-01-12
334,334,CD-SP,550,77,47,2026-02-01
335,335,CD-SP,253,23,22,2026-01-08
336,336,CD-RJ,296,44,5,2026-01-27
337,337,cd_sp,165,72,47,2026-01-26
338,338,CD-SP,390,18,45,2026-01-14
339,339,CD-SP,11,67,18,2026-01-13
340,340,CD-MG,365,58,26,2026-01-12
341,341,CD-RJ,141,39,25,2026-01-10
342,342,CD-SP,561,6,14,2026-01-21
343,343,CD-SP,141,10,22,2026-01-22
344,344,CD-MG,433,62,43,2026-01-07
345,345,CD-MG,432,34,18,2026-01-26
346,346,CD-SP,504,44,32,2026-01-18
347,347,CD-RJ,93,75,36,2026-01-15
348,348,CD-RJ,519,5,19,2026-01-18
349,349,CD-SP,384,0,18,2026-01-17
350,350,cd_sp,288,17,21,2026-01-22
351,351,CD-RJ,276,15,5,2026-02-03
352,352,CD-MG,489,22,13,2026-01-08
353,353,cd_sp,369,64,40,2026-01-19
354,354,CD-SP,342,50,7,2026-02-03
355,355,CD-SP,426,58,9,2026-01-13
356,356,CD-MG,300,73,30,2026-01-15
357,357,CD-RJ,407,14,30,2026-02-03
358,358,CD-RJ,1,21,44,2026-01-08
359,359,CD-RJ,451,11,32,2026-01-10
360,360,cd_sp,88,55,42,2026-01-23
361,361,CD-SP,390,50,24,2026-02-03
362,362,cd_sp,327,42,15,2026-01-19
363,363,CD-SP,58,67,37,2026-01-18
364,364,CD-RJ,178,44,46,2026-01-25
365,365,cd_sp,131,13,14,2026-01-26
366,366,cd_sp,242,22,43,2026-01-08
367,367,CD-SP,136,22,45,2026-01-23
368,368,CD-MG,485,72,42,2026-01-09
369,369,CD-RJ,439,80,25,2026-01-16
370,370,CD-MG,134,8,35,2026-01-30
371,371,CD-RJ,432,35,42,2026-01-13
372,372,CD-RJ,37,64,9,2026-01-18
373,373,CD-MG,297,57,7,2026-01-29
374,374,CD-RJ,38,36,9,2026-02-02
375,375,CD-MG,72,59,42,2026-01-06
376,376,CD-SP,547,57,41,2026-01-12
377,377,CD-RJ,172,77,35,2026-01-28
378,378,cd_sp,493,7,33,2026-02-01
379,379,CD-RJ,85,10,37,2026-01-24
380,380,CD-SP,156,31,50,2026-01-13
381,381,CD-MG,428,67,38,2026-02-02
382,382,CD-RJ,142,47,23,2026-01-10
383,383,CD-MG,376,43,48,2026-01-19
384,384,CD-SP,592,80,46,2026-01-28
385,385,CD-SP,322,42,11,2026-01-28
386,386,CD-MG,551,36,21,2026-01-25
387,387,cd_sp,597,42,10,2026-01-28
388,388,cd_sp,576,44,24,2026-01-14
389,389,cd_sp,381,76,50,2026-02-02
390,390,CD-RJ,66,71,29,2026-01-29
391,391,cd_sp,316,67,10,2026-01-06
392,392,CD-RJ,413,2,28,2026-01-22
393,393,cd_sp,296,27,26,2026-02-02
394,394,cd_sp,477,28,13,2026-01-27
395,395,CD-SP,138,37,11,2026-01-05
396,396,CD-SP,499,43,44,2026-01-17
397,397,CD-MG,114,19,15,2026-01-17
398,398,cd_sp,165,56,7,2026-01-08
399,399,CD-RJ,400,30,33,2026-01-30
400,400,CD-MG,271,29,39,2026-01-22
401,401,CD-RJ,224,60,17,2026-01-13
402,402,CD-MG,356,59,23,2026-01-12
403,403,CD-MG,371,20,17,2026-01-17
404,404,cd_sp,599,32,8,2026-01-06
405,405,CD-RJ,472,70,11,2026-01-21
406,406,CD-SP,508,36,10,2026-01-27
407,407,CD-RJ,144,57,37,2026-01-14
408,408,CD-MG,130,11,19,2026-02-03
409,409,CD-RJ,441,3,31,2026-01-29
410,410,CD-MG,34,64,28,2026-01-16
411,411,CD-MG,221,10,28,2026-01-13
412,412,CD-SP,209,40,11,2026-01-25
413,413,cd_sp,323,17,7,2026-01-10
414,414,CD-MG,273,17,50,2026-01-20
415,415,CD-MG,460,78,5,2026-01-13
416,416,CD-SP,61,32,18,2026-01-16
417,417,CD-MG,133,14,23,2026-01-06
418,418,CD-RJ,223,15,8,2026-01-11
419,419,CD-MG,224,79,34,2026-01-19
420,420,CD-SP,44,63,43,2026-01-10
421,421,CD-SP,528,80,37,2026-01-14
422,422,cd_sp,568,18,23,2026-02-01
423,423,CD-SP,419,78,27,2026-01-19
424,424,CD-MG,226,23,47,2026-01-21
425,425,CD-RJ,67,8,38,2026-02-02
426,426,CD-SP,537,49,35,2026-01-31
427,427,CD-MG,24,47,21,2026-01-31
428,428,CD-RJ,-4,8,27,2026-02-01
429,429,CD-SP,226,74,26,2026-01-08
430,430,CD-SP,116,45,39,2026-01-13
431,431,cd_sp,326,59,49,2026-01-30
432,432,cd_sp,470,17,9,2026-01-06
433,433,CD-SP,448,37,17,2026-01-19
434,434,cd_sp,24,5,25,2026-01-10
435,435,CD-MG,297,69,35,2026-01-24
436,436,CD-SP,239,24,23,2026-01-20
437,437,CD-SP,345,42,22,2026-01-26
438,438,CD-RJ,107,55,30,2026-01-08
439,439,CD-MG,430,43,16,2026-01-19
440,440,CD-MG,488,47,38,2026-01-19
441,441,CD-SP,253,54,10,2026-01-12
442,442,cd_sp,420,69,23,2026-01-07
443,443,CD-SP,308,10,25,2026-01-16
444,444,CD-RJ,282,57,43,2026-02-01
445,445,cd_sp,416,56,27,2026-01-16
446,446,CD-SP,437,45,44,2026-01-14
447,447,CD-RJ,425,7,9,2026-01-23
448,448,CD-RJ,395,65,48,2026-01-27
449,449,CD-SP,143,18,43,2026-01-28
450,450,CD-SP,428,16,9,2026-01-30
451,451,CD-RJ,221,46,29,2026-01-15
452,452,CD-SP,560,77,14,2026-01-13
453,453,CD-RJ,440,47,33,2026-01-18
454,454,cd_sp,58,67,28,2026-01-18
455,455,CD-RJ,387,35,20,2026-01-18
456,456,CD-SP,96,23,36,2026-01-14
457,457,CD-MG,510,71,12,2026-02-02
458,458,CD-RJ,248,57,18,2026-02-02
459,459,CD-MG,272,25,12,2026-01-16
460,460,CD-SP,118,57,16,2026-02-02
461,461,CD-SP,435,40,47,2026-01-23
462,462,CD-SP,335,70,39,2026-01-20
463,463,CD-RJ,277,20,50,2026-02-03
464,464,CD-RJ,158,65,19,2026-01-22
465,465,cd_sp,104,17,20,2026-01-25
466,466,CD-SP,485,46,40,2026-01-18
467,467,CD-RJ,566,59,40,2026-01-16
468,468,CD-SP,112,8,24,2026-01-13
469,469,CD-MG,387,67,31,2026-01-06
470,470,CD-SP,399,16,25,2026-01-15
471,471,CD-MG,55,59,48,2026-01-20
472,472,CD-RJ,509,16,40,2026-01-16
473,473,cd_sp,581,16,32,2026-01-22
474,474,CD-SP,494,15,38,2026-01-15
475,475,CD-RJ,136,21,15,2026-02-03
476,476,cd_sp,310,44,38,2026-01-28
477,477,CD-SP,270,32,17,2026-01-08
478,478,CD-RJ,544,16,45,2026-01-19
479,479,CD-SP,290,64,46,2026-01-15
480,480,cd_sp,152,21,47,2026-01-10
481,481,CD-RJ,599,72,7,2026-01-12
482,482,CD-SP,9,5,46,2026-01-12
483,483,CD-RJ,570,26,41,2026-01-25
484,484,CD-SP,406,63,45,2026-01-11
485,485,CD-RJ,538,38,35,2026-01-15
486,486,CD-MG,230,38,34,2026-01-20
487,487,CD-SP,54,20,33,2026-02-01
488,488,CD-MG,405,59,18,2026-01-09
489,489,cd_sp,328,40,50,2026-02-01
490,490,CD-RJ,306,51,13,2026-01-11
491,491,CD-SP,359,40,20,2026-01-15
492,492,CD-SP,457,34,33,2026-01-10
493,493,cd_sp,233,12,8,2026-01-16
494,494,CD-MG,277,78,31,2026-01-31
495,495,cd_sp,234,41,41,2026-01-16
496,496,cd_sp,300,20,36,2026-01-23
497,497,CD-MG,507,63,24,2026-01-15
498,498,CD-SP,489,11,30,2026-01-23
499,499,CD-MG,497,30,18,2026-01-07
500,500,CD-RJ,577,6,8,2026-01-05
501,501,CD-MG,268,76,46,2026-01-19
502,502,CD-RJ,461,68,5,2026-01-14
503,503,CD-MG,90,17,21,2026-01-29
504,504,CD-MG,354,46,7,2026-01-09
505,505,CD-SP,390,72,40,2026-01-22
506,506,CD-RJ,179,70,23,2026-01-28
507,507,CD-MG,55,64,33,2026-01-21
508,508,CD-RJ,543,79,48,2026-01-29
509,509,cd_sp,101,12,30,2026-01-21
510,510,CD-RJ,362,71,28,2026-01-28
511,511,cd_sp,127,77,37,2026-01-11
512,512,CD-SP,391,5,7,2026-01-09
513,513,CD-RJ,120,60,38,2026-01-07
514,514,cd_sp,447,77,37,2026-02-02
515,515,CD-RJ,123,78,25,2026-01-10
516,516,CD-MG,146,78,24,2026-01-08
517,517,CD-RJ,587,64,37,2026-01-13
518,518,CD-MG,525,72,24,2026-01-31
519,519,CD-SP,466,47,26,2026-02-01
520,520,CD-MG,92,74,24,2026-01-30
521,521,CD-MG,7,33,46,2026-01-11
522,522,cd_sp,572,6,42,2026-01-31
523,523,cd_sp,471,67,45,2026-01-18
524,524,cd_sp,369,31,7,2026-01-30
525,525,CD-SP,566,24,6,2026-01-08
526,526,CD-RJ,431,53,14,2026-01-29
527,527,cd_sp,402,52,37,2026-01-28
528,528,CD-SP,462,17,38,2026-01-09
529,529,CD-RJ,192,61,38,2026-01-30
530,530,CD-RJ,365,22,34,2026-01-19
531,531,CD-RJ,525,69,27,2026-01-19
532,532,CD-MG,250,24,20,2026-01-23
533,533,CD-RJ,265,28,24,2026-01-29
534,534,cd_sp,275,62,25,2026-01-05
535,535,CD-RJ,471,71,22,2026-01-24
536,536,CD-SP,274,73,48,2026-01-26
537,537,CD-MG,536,50,27,2026-01-14
538,538,CD-RJ,129,5,23,2026-01-29
539,539,CD-RJ,60,56,46,2026-01-13
540,540,CD-MG,242,27,17,2026-01-17
541,541,CD-RJ,531,71,49,2026-01-17
542,542,cd_sp,258,13,44,2026-01-21
543,543,cd_sp,580,31,8,2026-01-27
544,544,cd_sp,523,29,8,2026-01-06
545,545,CD-MG,82,42,50,2026-02-02
546,546,CD-SP,463,17,5,2026-01-06
547,547,cd_sp,543,52,46,2026-01-22
548,548,CD-MG,467,25,23,2026-01-28
549,549,CD-RJ,308,7,10,2026-01-05
550,550,cd_sp,567,68,7,2026-01-23
551,551,CD-MG,159,22,7,2026-02-02
552,552,CD-MG,386,23,23,2026-01-12
553,553,CD-SP,18,38,41,2026-01-06
554,554,CD-SP,597,42,23,2026-02-02
555,555,CD-MG,445,17,37,2026-01-15
556,556,CD-RJ,459,24,12,2026-01-27
557,557,cd_sp,318,58,46,2026-01-12
558,558,cd_sp,243,1,26,2026-01-12
559,559,cd_sp,282,22,44,2026-01-20
560,560,CD-MG,395,65,25,2026-01-31
561,561,CD-MG,68,12,16,2026-01-19
562,562,CD-MG,123,41,20,2026-01-19
563,563,CD-RJ,-14,49,20,2026-01-19
564,564,CD-RJ,437,42,24,2026-01-29
565,565,CD-SP,576,33,46,2026-01-27
566,566,cd_sp,348,7,47,2026-01-13
567,567,CD-MG,101,39,15,2026-01-22
568,568,CD-RJ,395,15,45,2026-02-02
569,569,CD-RJ,282,78,19,2026-01-17
570,570,cd_sp,204,61,14,2026-01-17
571,571,CD-RJ,445,53,49,2026-01-28
572,572,CD-MG,542,68,47,2026-01-19
573,573,cd_sp,203,76,10,2026-01-26
574,574,CD-MG,518,67,50,2026-01-17
575,575,CD-SP,350,72,12,2026-01-18
576,576,cd_sp,43,73,39,2026-01-12
577,577,cd_sp,133,41,38,2026-01-27
578,578,CD-SP,432,26,50,2026-01-24
579,579,CD-MG,577,11,37,2026-01-14
580,580,CD-SP,436,58,13,2026-01-17
581,581,CD-MG,505,58,41,2026-02-03
582,582,CD-MG,39,39,6,2026-01-27
583,583,CD-RJ,385,0,18,2026-02-01
584,584,CD-SP,572,5,32,2026-01-27
585,585,CD-SP,332,69,8,2026-01-20
586,586,CD-MG,50,4,23,2026-02-03
587,587,cd_sp,398,17,46,2026-01-19
588,588,CD-RJ,410,48,33,2026-01-21
589,589,CD-MG,366,10,48,2026-01-17
590,590,cd_sp,532,44,12,2026-01-06
591,591,CD-MG,162,67,13,2026-01-21
592,592,CD-SP,208,2,24,2026-02-02
593,593,CD-MG,454,68,29,2026-01-31
594,594,cd_sp,215,58,27,2026-01-22
595,595,CD-RJ,138,24,12,2026-01-06
596,596,CD-MG,12,78,6,2026-01-09
