id_registro,data,id_campanha,impressoes,cliques,conversoes,custo
43,2025-03-21,42,49444,11054,7177,8101.55
44,2025-05-02,8,32993,7447,1840,623.03
45,2025-11-28,38,73103,394,117,5316.54
46,2025-07-22,5,8216,167,58,653.23
47,2025-06-12,56,43809,564,72,4651.7
48,2025-08-06,43,64124,4612,1755,4876.14
49,2026-02-03,60,75347,11901,9440,4280.41
50,2025-06-04,31,53854,12905,3119,894.22
51,2025-03-13,28,46938,10846,6939,3729.37
52,2025-05-08,47,7600,14203,11032,5898.43
53,2026-01-03,7,8444,10637,6596,6567.51
54,2025-08-17,56,14822,13166,4073,1764.73
55,2026-01-16,29,18873,8836,6912,1692.22
56,2025-10-13,16,10380,7629,3630,7281.8
57,2025-08-11,36,13333,14074,828,5886.7
58,2025-10-01,54,2434,8906,1528,8340.98
59,2025-06-03,16,22298,13955,6658,4396.49
60,2025-10-21,56,53065,3552,240,1523.5
61,2025-02-25,25,35260,85,100,7076.91
62,2025-05-18,28,73345,4723,3986,1435.43
63,2025-05-25,14,8165,4911,4744,6634.85
64,2025-05-30,48,41604,1048,117,498.77
65,2025-07-04,33,70115,7861,1289,559.07
66,2025-06-13,6,24856,8370,1122,5375.56
67,2025-03-02,56,31328,11112,6615,1122.99
68,2025-10-13,37,32771,14636,9485,5370.95
69,2025-06-03,6,55448,10197,9562,5108.78
70,2025-10-24,60,34679,5233,1673,6044.05
71,2026-01-05,16,35314,5197,3242,1221.36
72,2026-01-19,20,60429,10625,5180,8364.71
73,2025-11-18,1,60568,1238,1153,8965.06
74,2026-01-26,35,28438,1250,1036,2423.54
75,2025-05-28,57,9516,5768,2001,3357.27
76,2026-01-16,29,71700,2634,1239,5524.52
77,2025-06-12,42,69829,13273,128,6027.38
78,2025-07-17,20,14077,9136,2200,2416.97
79,2025-06-03,7,73012,14627,2546,2487.52
80,2025-04-26,14,45442,9959,3335,6203.1
81,2026-01-29,17,66744,14024,8004,2297.54
82,2025-02-21,55,7158,14929,1512,5726.85
83,2025-12-17,18,6278,13638,58,3035.33
84,2025-05-06,41,34835,2193,661,6684.02
85,2025-11-30,46,56557,9088,158,1051.27
86,2025-02-11,45,20036,14518,8938,372.45
87,2025-03-19,38,72920,6099,1213,3896.59
88,2025-12-13,20,48295,735,40,8095.38
89,2025-12-11,44,33206,3491,2731,970.0
90,2025-06-26,36,53764,12831,10168,6757.82
91,2025-09-21,56,21799,3928,3276,7306.41
92,2025-05-14,27,3748,14491,2938,6642.25
93,2025-06-23,51,54464,5492,5487,7783.37
94,2025-05-24,16,35470,13333,2608,7097.0
95,2025-06-01,25,5575,1821,1758,4262.68
96,2025-05-02,53,60832,3319,1432,2781.46
97,2025-03-24,56,30331,13080,3652,261.8
98,2025-09-01,26,43525,3214,1141,7785.96
99,2025-10-07,18,46525,12720,10510,4609.18
100,2026-01-21,54,70782,11183,5425,8456.17
101,2025-09-04,57,34737,1939,365,5246.28
102,2026-01-27,3,14708,4399,3559,3143.9
103,2025-03-04,21,57699,12934,9932,8858.91
104,2025-10-27,25,76074,1944,389,2329.77
105,2025-11-13,28,721,11662,8518,8333.9
106,2025-06-04,44,26325,8871,5967,3910.11
107,2025-04-29,59,43779,10932,10209,2859.55
108,2025-09-22,8,39863,13943,8308,2818.1
109,2025-02-17,21,53243,6741,5711,2696.11
110,2026-01-26,13,55608,2135,1552,6112.0
111,2025-11-25,12,75093,14841,4930,3684.37
112,2025-02-15,1,40329,13709,4700,1931.14
113,2025-03-27,38,42737,12923,7618,4003.98
114,2025-03-05,14,67500,11119,7752,7153.93
115,2026-01-29,48,22741,13092,10794,808.92
116,2025-10-26,43,44433,8495,1530,7374.89
117,2025-12-24,16,41187,12356,3680,7268.74
118,2025-08-28,2,6557,2464,1002,8856.23
119,2026-01-03,55,10045,10065,7461,3759.25
120,2026-02-01,37,25985,10368,6291,4474.68
121,2025-08-19,10,1226,4047,3656,6771.13
122,2025-03-30,57,14470,12666,6965,2008.63
123,2025-08-23,45,68389,13224,7611,499.45
124,2025-12-12,59,16406,4132,3739,1243.38
125,2025-06-05,43,70116,7662,4578,5379.3
126,2025-11-04,58,58508,12424,10037,7344.31
127,2026-01-20,33,56433,14664,13608,8166.35
128,2025-04-16,58,21361,7355,6092,7760.38
129,2025-12-21,17,32906,7423,6880,5757.07
130,2025-02-04,50,68827,12597,7939,5659.4
131,2025-12-29,29,10655,4549,2340,2148.72
132,2025-09-11,21,71298,5552,660,1288.45
133,2025-11-28,25,20528,3838,2893,1964.88
134,2025-08-08,27,43869,6847,4445,4220.02
135,2025-07-11,14,55569,1070,797,8148.3
136,2026-01-24,45,3060,9619,9432,3454.41
137,2025-05-10,23,39639,146,99,7688.36
138,2025-02-13,27,71045,13742,12247,6624.97
139,2025-05-10,39,29406,13155,7999,2013.82
140,2025-03-18,32,4304,7190,3185,3058.36
141,2025-04-06,52,53494,11177,2704,7572.53
142,2025-03-08,40,70508,2141,110,8167.01
143,2025-11-30,37,4052,9747,1375,5802.61
144,2025-10-06,56,61015,2273,744,500.05
145,2025-04-10,21,28242,6261,3724,2975.27
146,2025-07-23,57,50192,12521,4558,6780.49
147,2025-11-10,27,33565,13680,13679,783.06
148,2025-02-11,48,71202,367,26,8999.18
149,2025-02-03,15,9493,5783,5339,410.31
150,2025-11-27,16,26630,558,20,5610.95
151,2025-05-11,9,62570,3958,2742,1073.79
152,2025-06-11,30,34086,3621,3141,3351.61
153,2025-06-11,39,15512,9976,2683,8684.25
154,2025-02-18,38,3865,1821,638,5203.38
155,2026-01-21,25,52490,14927,11714,1825.05
156,2025-08-16,45,32330,9750,1669,6289.88
157,2025-10-04,55,79197,4991,991,7176.23
158,2025-08-15,51,5883,9322,5688,4818.07
159,2025-12-05,24,9538,10888,8289,5845.51
160,2025-09-13,55,55557,257,250,994.57
161,2025-03-21,41,60758,5984,5794,1419.27
162,2025-07-05,47,68886,2935,2664,2467.24
163,2025-04-09,59,71039,13291,12691,4377.3
164,2025-05-26,53,78156,7186,2198,2934.63
165,2025-07-02,54,11859,4072,1142,7940.6
166,2025-06-02,49,61410,4045,2334,5512.47
167,2025-12-12,22,4261,6259,4049,7666.03
168,2025-02-23,32,28302,3029,1453,7190.6
169,2026-01-18,18,78639,5626,2263,5024.33
170,2025-02-23,13,11721,8514,3954,6494.67
171,2025-06-01,36,31999,8054,5657,4311.03
172,2025-08-12,32,59243,11712,282,882.83
173,2025-04-03,26,32390,3680,1254,5992.44
174,2025-09-24,31,73044,6096,4349,3126.63
175,2026-01-25,36,43857,12271,5764,6340.55
176,2025-02-16,20,33451,4488,1888,1129.87
177,2025-05-03,21,16170,3205,3042,4845.98
178,2025-02-18,45,24767,12537,3138,1986.64
179,2025-09-18,18,77778,7983,8000,6853.86
180,2025-11-21,19,13676,9827,3180,2701.41
181,2025-06-01,12,40118,5962,115,6386.77
182,2025-04-05,18,6465,2123,223,5002.56
183,2025-04-29,9,64840,11476,1680,7860.84
184,2025-08-26,19,62024,9455,7843,3992.2
185,2025-08-14,4,33592,3070,1956,1071.08
186,2025-11-12,26,64954,1120,151,5214.34
187,2025-07-14,4,20387,11296,2444,7309.72
188,2025-07-07,6,33030,5028,970,5044.75
189,2025-11-12,39,78635,6868,6477,5584.84
190,2025-12-15,34,50356,12758,7381,8181.11
191,2025-05-15,56,77639,4921,3512,2783.15
192,2025-09-19,4,13506,10224,3404,5648.36
193,2025-05-21,43,11141,4385,1286,2196.79
194,2025-05-18,5,21017,9093,43,3706.23
195,2025-10-24,39,62092,11344,4771,342.13
196,2026-01-26,46,37556,4770,3719,687.06
197,2025-10-04,60,35175,3874,3226,7131.67
198,2025-11-09,43,26428,9713,6965,1077.25
199,2025-09-25,42,20028,3733,3720,2427.41
200,2025-12-19,5,8316,2380,679,7144.03
201,2025-04-29,48,75107,9799,4728,3980.42
202,2025-10-30,45,40357,7729,5732,3652.45
203,2025-11-09,33,71276,4510,4045,3967.94
204,2025-02-15,3,57126,9848,5280,5453.24
205,2026-01-14,6,30505,473,492,6084.97
206,2025-05-29,37,77455,14148,339,8996.17
207,2025-08-01,53,35825,11064,9441,410.07
208,2025-07-18,12,62169,12440,8502,5881.01
209,2025-05-29,12,77220,4607,3570,5731.32
210,2025-06-22,6,62105,8106,2850,3704.72
211,2025-08-27,43,14210,5310,1317,3001.74
212,2025-12-08,32,38277,11415,10855,8509.48
213,2026-01-10,49,72602,13379,601,4120.69
214,2026-01-03,17,42872,5203,949,8733.15
215,2025-06-15,56,67949,6672,9,5936.06
216,2025-02-24,30,54665,8939,888,1728.86
217,2025-09-23,40,65838,5977,5123,4006.27
218,2025-05-21,14,35503,895,562,1222.57
219,2025-12-30,29,64032,4769,994,308.38
220,2025-03-03,39,31865,10372,2594,2831.21
221,2025-12-28,36,53976,274,47,2061.07
222,2025-03-26,59,15371,13835,7560,8526.19
223,2025-02-23,54,20681,10662,8165,8397.24
224,2025-06-12,33,36338,4831,3403,7520.78
225,2025-07-07,16,60371,7786,4515,1344.55
226,2025-09-17,59,79061,3172,2081,6729.32
227,2025-09-30,56,9650,2286,1131,6965.44
228,2025-11-05,27,45048,14048,12905,4594.25
229,2025-12-24,1,37572,13493,11895,2722.07
230,2025-10-04,38,64678,9666,2434,4046.6
231,2025-10-02,23,44073,7985,4521,6877.71
232,2025-09-29,30,42676,6230,1545,8827.93
233,2025-11-30,37,50696,3962,956,7711.32
234,2026-01-13,3,42204,6780,6100,4283.14
235,2025-02-11,25,51104,13344,10873,7141.92
236,2025-08-28,10,65423,10732,606,1179.9
237,2025-08-26,22,13654,9719,7213,942.42
238,2025-09-05,30,2511,14966,11836,1340.19
239,2025-03-26,42,20732,14319,1225,4251.94
240,2025-10-28,22,52598,4392,657,7673.3
241,2025-03-06,44,70442,14014,6226,8589.55
242,2025-12-27,46,64456,10319,8864,371.3
243,2025-11-16,16,38167,1171,465,6733.56
244,2025-06-11,7,13673,7160,3634,1538.96
245,2025-11-18,58,4294,4956,376,2953.15
246,2026-01-05,19,47484,969,383,3904.65
247,2025-03-28,34,54508,4050,2318,6152.11
248,2025-09-26,11,23446,3000,323,5504.95
249,2025-08-25,40,32066,6317,4076,8219.82
250,2025-12-11,15,60943,2394,1040,4163.16
251,2025-03-03,1,61481,10975,4712,6114.62
252,2025-10-10,5,58398,2638,1415,8889.48
253,2025-11-15,41,56115,4951,2048,4138.68
254,2025-06-01,13,50922,4999,3958,1004.55
255,2025-09-06,37,47549,6298,4708,2698.06
256,2025-07-25,19,3375,11506,10784,3592.46
257,2025-08-24,37,6928,182,155,6719.29
258,2025-05-23,58,38012,13695,12709,7199.8
259,2025-09-13,52,46679,9996,3588,5747.73
260,2025-03-26,17,18427,10222,1591,8135.46
261,2025-11-06,3,40992,10639,7222,348.61
262,2025-05-10,47,17724,6027,738,8191.17
263,2025-03-25,48,54960,5402,1438,1847.11
264,2025-07-04,35,48453,12936,8697,4541.06
265,2025-06-09,54,22067,4515,2105,8230.74
266,2025-06-06,52,39184,7944,6115,7840.05
267,2025-03-31,8,61885,13226,1233,1309.78
268,2025-06-26,56,52589,3746,3464,7251.06
269,2025-09-27,6,52217,6042,114,2416.9
270,2025-06-07,30,48811,2074,1073,5281.81
271,2025-08-28,41,49189,13524,1775,6089.79
272,2026-01-08,2,74084,7774,2687,8241.54
273,2025-11-20,42,8785,3676,2602,7423.51
274,2025-06-17,45,40108,14949,10637,3704.25
275,2025-11-30,3,5377,2340,1246,8963.55
276,2025-05-29,7,31275,1952,1817,4861.04
277,2025-04-14,30,49129,6417,5492,8546.96
278,2025-11-11,35,55435,11461,9622,6693.31
279,2026-01-09,57,54879,2581,405,7511.55
280,2025-08-09,27,37166,10136,536,6228.01
281,2025-03-11,29,58787,3609,967,7706.28
282,2025-09-25,44,48647,1677,1115,8120.18
283,2025-04-06,23,8436,10614,6523,2519.14
284,2025-04-23,55,60100,2051,375,5981.78
285,2025-09-28,41,78769,10563,349,502.68
286,2025-08-07,16,17005,5514,4625,1886.59
287,2025-03-07,49,73141,13645,3394,5298.13
288,2025-10-16,56,31039,13371,5383,6980.6
289,2025-12-24,58,78616,12971,46,2531.61
290,2026-01-19,9,71307,2420,1026,7196.7
291,2025-03-05,43,3879,1851,269,183.0
292,2025-07-06,51,31686,12993,9647,2947.75
293,2025-03-12,17,7368,2904,519,6688.38
294,2025-02-23,8,8830,8669,7802,4062.06
295,2025-05-19,33,78312,5981,893,4095.45
296,2025-12-20,40,6183,3679,2978,7059.88
297,2025-06-26,43,68847,14254,4941,4149.48
298,2025-02-14,4,63281,560,411,3865.15
299,2026-01-05,32,58638,1818,150,8098.44
300,2025-05-16,39,19942,5327,538,1179.41
301,2025-02-08,41,77224,10278,8984,6423.77
302,2025-05-05,39,70041,6290,2415,4110.75
303,2025-04-24,28,13499,9969,1874,7682.49
304,2025-06-17,57,72764,10714,3522,3899.13
305,2025-12-14,15,54739,14600,5553,7455.4
306,2026-01-13,27,12963,6582,2560,3869.54
307,2025-10-06,17,49560,10947,2500,6197.05
308,2025-08-14,5,12457,7820,6813,814.01
309,2025-09-07,7,49343,7125,6650,1214.53
310,2025-02-10,38,74108,1032,675,6046.62
311,2025-12-12,23,55935,6780,5906,510.44
312,2025-07-14,39,41453,4762,2880,977.23
313,2025-08-01,14,20780,8363,7900,2056.99
314,2025-08-27,23,73410,1823,752,1078.22
315,2025-12-20,37,30143,4614,3515,7614.14
316,2025-02-24,53,73472,12623,430,5500.5
317,2025-08-08,54,35554,10827,474,1664.72
318,2026-01-06,49,40999,11563,5567,3191.66
319,2025-07-27,56,19276,3022,2319,5933.23
320,2025-11-18,10,4518,1190,187,6727.7
321,2026-01-01,25,55528,3574,1858,3101.02
322,2025-02-12,20,43017,6112,4649,5386.2
323,2025-03-12,4,20892,14522,2579,6802.2
324,2025-10-18,44,11193,865,278,4015.86
325,2025-03-29,32,58439,6997,3392,2494.84
326,2025-04-13,33,15418,12418,5655,3897.73
327,2025-06-15,44,78243,4690,3986,4766.06
328,2025-10-11,3,29403,5103,3237,8860.79
329,2026-01-13,1,27294,947,308,8510.65
330,2025-02-20,9,33991,12622,4742,2986.7
331,2025-08-01,32,56946,176,44,1206.21
332,2025-12-26,46,30661,8775,8196,5050.58
333,2025-12-06,52,46921,10995,1180,3603.79
334,2025-07-15,3,57676,12207,307,4164.8
335,2025-09-12,56,41533,1325,1179,3892.09
336,2025-02-05,46,55247,6676,2371,1080.8
337,2025-12-03,21,23027,391,410,8531.15
338,2025-11-16,54,47928,7588,721,3958.57
339,2025-03-30,16,57604,1784,1206,3634.03
340,2025-05-17,26,41168,1338,695,2033.07
341,2025-06-30,11,10511,12815,8363,5717.36
342,2025-03-22,33,25915,8743,5724,3192.34
343,2025-05-15,42,19858,13467,3871,970.1
344,2025-02-05,13,23240,4243,1252,6853.93
345,2025-12-16,5,23718,10789,10288,4472.35
346,2025-09-10,37,76452,12410,7354,6146.14
347,2025-12-11,37,42863,14501,14159,8740.21
348,2025-08-31,10,58140,5229,559,4246.84
349,2025-06-13,20,36502,10394,9689,552.74
350,2025-12-01,5,41185,8362,7565,4094.63
351,2026-01-29,24,38127,982,78,5819.76
352,2025-12-02,6,78367,14063,8307,3491.12
353,2025-06-30,36,5876,9558,7368,8186.0
354,2025-05-04,42,25172,9416,5267,5464.8
355,2025-09-01,10,8609,8264,7381,976.34
356,2025-07-12,54,45515,14781,11703,804.75
357,2025-03-09,12,5630,10636,4059,6383.21
358,2025-10-05,34,69017,7249,4995,1470.78
359,2025-08-02,59,37579,6158,3173,3708.49
360,2025-11-29,44,78866,5593,428,7113.58
361,2025-11-27,22,9139,10655,5401,895.83
362,2025-02-11,25,37743,11164,4128,6527.42
363,2025-09-24,59,79497,10807,2463,3033.59
364,2025-07-22,43,19037,9597,5731,2826.57
365,2025-12-20,45,51874,10798,2112,5375.62
366,2025-09-01,20,73759,1438,771,5809.26
367,2025-07-12,53,17250,5431,4312,886.4
368,2025-12-05,28,67148,11034,5928,213.16
369,2025-04-06,12,28574,5110,2799,8531.63
370,2025-11-24,13,30193,8017,1126,1436.76
371,2025-02-05,55,13756,4896,4158,6949.33
372,2025-05-28,48,69513,13732,618,5974.27
373,2026-01-28,50,17676,14408,9785,3421.64
374,2025-08-14,12,22197,2708,1792,441.05
375,2025-09-16,44,31633,6018,3638,5514.83
376,2025-10-30,48,59341,12377,3833,4829.4
377,2025-11-26,52,61974,5120,1589,3342.18
378,2025-06-10,29,61013,9395,4616,7014.21
379,2025-09-15,34,55374,8289,2655,7361.18
380,2026-01-02,39,18640,13177,4096,517.01
381,2025-08-11,56,49155,7923,4542,8411.93
382,2025-04-12,55,68121,11705,2042,2601.31
383,2025-11-18,11,36255,12552,7361,8152.49
384,2025-10-22,54,57840,2464,375,8520.4
385,2025-12-28,53,59630,3687,3623,3178.79
386,2025-08-13,27,7480,486,202,4542.96
387,2025-10-23,25,11196,3912,1535,2059.62
388,2025-06-09,60,13487,5271,2746,7132.86
389,2025-12-08,3,38101,2304,1935,6279.84
390,2025-11-28,49,61987,2323,1837,5557.37
391,2025-12-22,6,2990,14891,4193,1980.11
392,2025-10-17,36,69676,2499,1733,1045.12
393,2025-11-18,16,39972,4770,998,477.36
394,2025-10-26,41,60414,6928,514,1042.18
395,2025-03-18,32,78715,14879,8782,197.1
396,2025-12-11,37,32211,8493,2352,2656.88
397,2025-10-21,40,46744,75,30,5157.44
398,2025-10-04,43,11721,3118,2144,8773.16
399,2025-11-23,34,71813,1158,1039,7088.39
400,2025-09-05,36,3165,8366,6397,7866.32
401,2025-11-24,41,51209,763,382,2320.17
402,2025-11-07,23,9355,316,176,2208.08
403,2026-01-17,41,14087,10815,9533,6629.92
404,2025-11-03,9,6311,5497,2886,4936.82
405,2025-12-18,42,23449,13378,12765,6177.91
406,2025-11-22,31,24391,11443,2209,614.75
407,2025-09-11,30,5347,12767,4807,1854.24
408,2025-12-19,13,5992,13011,5170,8403.67
409,2025-02-25,26,71676,8494,7756,2317.16
410,2025-03-29,42,25548,12391,4687,3244.92
411,2025-10-16,4,44006,12843,4476,1164.05
412,2025-06-09,28,52931,6079,6089,3985.64
413,2025-04-17,22,24986,6384,4064,6244.01
414,2025-05-16,60,68562,6068,2184,7220.28
415,2025-02-09,28,10845,11962,7055,5441.96
416,2025-02-10,12,71996,13523,4813,2924.84
417,2026-01-09,21,39250,1361,627,4040.95
418,2025-07-27,28,22342,11808,11301,4022.98
419,2026-01-31,3,46710,7375,5036,8983.45
420,2025-04-30,41,8018,4548,614,6057.1
421,2025-05-22,24,67751,6705,6562,6761.59
422,2025-10-03,2,19214,2671,2488,6118.9
423,2025-11-01,3,17045,7229,550,2162.16
424,2025-03-21,24,47967,10620,6272,8547.73
425,2025-12-09,39,20611,580,460,8541.97
426,2025-06-08,29,10577,6145,4701,1282.37
427,2025-09-28,26,41707,6062,5321,2544.27
428,2025-08-28,2,24885,1908,1022,4683.82
429,2025-06-14,8,34811,9252,4264,6351.14
430,2025-08-26,40,37931,3565,2842,8252.49
431,2025-08-02,13,16574,8097,1111,7682.8
432,2025-10-25,12,58841,7456,719,7304.09
433,2025-08-01,21,46037,13903,11625,631.2
434,2025-03-13,19,39815,8932,2580,6420.69
435,2025-02-18,41,23318,11522,5922,4603.36
436,2025-11-05,13,18702,2038,969,7123.84
437,2025-12-10,24,73116,480,293,3351.75
438,2025-04-10,36,17509,13217,10026,7964.01
439,2025-08-02,20,52687,1127,980,4754.98
440,2025-09-30,27,75853,12651,1208,1171.67
441,2026-01-09,42,10220,5244,3686,4219.21
442,2025-08-13,23,17321,8526,2981,6921.65
443,2025-12-26,28,66411,2164,226,7490.95
444,2025-04-10,10,40362,8538,2697,1499.6
445,2026-01-10,15,45853,11671,8501,8059.59
446,2025-06-19,6,33347,13909,3216,5733.76
447,2025-10-29,18,16906,9074,4961,5549.13
448,2025-10-11,33,22603,1580,1212,8477.38
449,2025-09-09,11,79816,2576,1382,7590.64
450,2025-09-10,3,4218,9284,1330,456.88
451,2025-06-06,50,76098,10559,4336,5877.61
452,2025-10-10,37,55102,12615,10127,5768.97
453,2025-05-18,57,72009,8209,4745,5795.07
454,2025-08-13,31,32596,4999,3326,2712.03
455,2026-01-08,45,8352,1245,323,3984.47
456,2025-02-27,30,27241,7983,2786,5479.61
457,2025-10-05,56,42353,5171,2829,8779.6
458,2026-01-05,49,49067,2192,2109,5076.78
459,2025-08-16,16,61641,5278,1003,2443.87
460,2025-12-15,10,13189,4111,414,2647.4
461,2026-01-26,56,55305,6343,2033,8666.04
462,2025-03-08,11,43417,14833,9464,6504.1
463,2025-04-15,49,21385,3160,2040,8963.93
464,2025-06-02,32,40941,7698,4074,257.43
465,2025-07-01,33,60430,6492,1972,1975.54
466,2025-10-10,4,7124,5831,2304,4479.3
467,2025-03-27,54,62180,14506,4681,4853.38
468,2025-08-21,7,56982,13930,2194,7947.98
469,2025-12-15,24,53355,11969,5995,454.92
470,2025-05-17,37,74138,888,199,3294.59
471,2025-08-24,5,51139,4778,4130,4080.67
472,2025-09-28,18,16072,9058,2108,8776.99
473,2025-06-23,24,44944,6503,4569,8453.59
474,2025-12-02,10,26590,12419,9870,4606.65
475,2025-07-07,3,6438,8243,637,1276.48
476,2025-03-08,52,62594,5506,4254,4140.05
477,2025-10-26,58,68068,9982,2290,2985.29
478,2025-02-24,21,21799,10094,6438,8916.01
479,2026-01-11,54,39721,12163,9727,3060.54
480,2025-10-18,33,70274,13620,8025,6393.22
481,2025-04-28,31,2680,4961,3017,3014.59
482,2025-06-09,27,77007,1845,630,7180.96
483,2025-08-11,56,3992,11933,9779,4297.58
484,2025-07-11,51,76321,10791,9463,2086.51
485,2025-04-07,38,63473,891,174,4741.88
486,2026-01-29,40,50332,11865,2421,7403.87
487,2025-03-28,3,75547,4018,3883,6319.66
488,2025-02-10,2,58307,3175,1284,3798.08
489,2025-10-12,45,27224,6815,3361,4541.28
490,2025-04-12,59,62314,10068,1020,6366.69
491,2025-06-22,14,74016,8548,5325,8983.2
492,2025-12-27,34,49891,7887,2570,8612.34
493,2026-01-01,59,70378,7581,2804,4939.15
494,2025-03-11,50,35150,11123,9995,4383.41
495,2025-05-31,18,73649,4088,2445,2062.56
496,2025-09-01,50,38380,4926,1698,6227.65
497,2025-04-19,21,63388,8061,2857,5066.36
498,2025-06-19,47,36342,13081,4715,1140.77
499,2025-12-06,35,50267,11135,6464,7374.48
500,2025-02-21,52,19698,12715,4758,426.5
501,2025-07-07,6,45898,11750,7247,5920.95
502,2025-12-17,31,28547,12294,3310,7460.17
503,2025-06-18,60,74164,4492,2225,1278.59
504,2025-03-11,48,77417,10137,3920,2220.0
505,2025-08-22,58,70104,11024,3697,5759.6
506,2025-10-13,7,54672,910,338,6470.35
507,2025-02-25,44,18518,1697,10,8682.44
508,2025-08-21,27,62850,2637,1955,5872.32
509,2025-04-07,19,42596,12434,4676,5830.79
510,2025-04-23,50,12225,14925,10687,5188.49
511,2025-03-30,48,5388,8817,2868,3790.07
512,2025-02-19,12,5263,13773,13700,3603.1
513,2026-01-10,12,38441,8166,7182,385.32
514,2025-08-08,37,79507,4938,879,8359.67
515,2025-05-14,19,60052,5539,5253,4912.54
516,2025-04-07,57,18089,8142,6971,4562.7
517,2025-08-24,13,15264,4520,2708,1504.32
518,2025-08-28,42,34220,7568,5886,1716.48
519,2025-08-25,22,39169,12118,9302,6085.89
520,2025-08-22,12,53648,3214,1751,4661.76
521,2025-06-04,26,13002,1471,378,8836.08
522,2025-07-21,21,33012,7872,55,2384.03
523,2026-01-25,29,35495,3908,3907,3000.15
524,2025-09-12,47,75588,9593,187,2390.9
525,2026-01-28,45,31472,5940,508,6026.69
526,2025-05-22,20,21434,7675,3321,6190.36
527,2025-08-12,57,41260,14715,11309,1100.87
528,2025-04-27,24,29447,4883,1795,8618.38
529,2025-05-10,10,60134,7884,6125,8900.1
530,2025-08-25,27,72489,6171,3857,6828.29
531,2026-01-03,43,29127,13189,12482,2264.82
532,2025-04-19,39,11230,12415,8609,4048.39
533,2025-07-21,24,10737,11580,9243,1054.27
534,2025-05-27,36,66755,13628,3312,5175.68
535,2025-03-03,11,43507,2505,2131,4004.47
536,2025-11-13,14,76934,11195,8008,863.93
537,2025-12-18,29,7792,8411,7429,1230.9
538,2025-11-07,30,74412,6856,472,5051.23
539,2025-07-24,52,40892,11072,356,3593.74
540,2025-06-02,1,29060,13426,9475,703.61
541,2025-11-25,23,8857,6991,4433,8947.41
542,2025-10-08,5,62375,14700,519,2619.46
543,2025-06-30,50,18250,2998,2627,8806.08
544,2025-06-29,27,49581,10632,6266,4064.41
545,2026-02-02,25,49736,14906,1314,6160.44
546,2025-04-26,56,71187,10892,2178,5899.13
547,2025-12-14,8,23892,5747,4401,3567.87
548,2025-12-11,47,29688,2136,14,6817.81
549,2025-02-25,30,71861,4938,3474,4810.81
550,2025-07-16,15,32941,13539,7546,3148.13
551,2025-10-14,13,15290,4566,263,7294.83
552,2026-01-04,40,2550,6918,1971,1894.43
553,2026-01-16,39,4900,1703,914,5400.17
554,2025-05-06,56,6880,11572,4009,6677.84
555,2025-11-13,29,31215,6640,4421,1994.56
556,2025-12-04,50,7898,14201,2295,4559.87
557,2025-12-20,15,76011,4789,2612,5218.4
558,2025-03-30,44,42530,12707,3881,2750.79
559,2025-06-25,43,68821,2397,905,3751.36
560,2025-03-04,4,73470,4558,1434,5652.64
561,2025-02-07,36,65462,7049,384,8752.0
562,2025-05-25,43,50458,10590,8592,2902.67
563,2025-09-30,27,20058,6871,2456,3419.32
564,2025-12-28,35,62565,12410,3948,7651.6
565,2025-04-08,55,19420,4977,3793,8236.93
