id_atendimento,id_pedido,id_cliente,id_agente,canal,motivo_principal,submotivo,area_responsavel,prioridade,complexidade,data_abertura,data_primeira_resposta,data_fechamento,quantidade_reaberturas,tempo_agente_minutos,custo_hora_agente,custo_atendimento,valor_compensacao,valor_estornado,nota_satisfacao,nps_classificacao,houve_reclamacao_publica,cliente_churnou_apos_atendimento,houve_recompra_30_dias
527,ped-53369,852.0,14,Telefone,Troca,Atraso,Comercial,Crítica,Alta,2025-04-07 02:35:49.619000,2025-04-07 10:35:49.619000,2025-04-08 15:35:49.619000,2,-10,38.76,-6.46,-20,0,2,promotor,Não,Não,Não
20,PED-91560,807.0,6,Chat Online,Troca,Erro na cobrança,financeiro,Média,Baixa,2024-11-10 04:04:06.178276,2024-11-10 10:04:06.178276,2024-11-13 21:04:06.178276,2,73,59.06,71.86,100,0,0,detrator,NAO,nao,Não
21,PED-95426,507.0,2,whatsapp,Pagamento,erro cobrança,logistica,critica,Baixa,2025-11-15 12:35:05.685415,2025-11-15 19:35:05.685415,2025-11-16 17:35:05.685415,2,-10,80.9,-13.48,100,200,0,Promotor,NAO,Sim,sim
22,PED-23356,1160.0,23,WhatsApp,Troca,Arrependimento,Logística,alta,Baixa,2024-09-10 05:17:42.153706,2024-09-10 09:17:42.153706,,1,26,82.22,158.96,-20,0,6,detrator,Não,nao,Não
4854,PED-52245,,16,telefone,Troca,Arrependimento,Logística,critica,Média,2025-03-24 08:01:50.944203,2025-03-24 16:01:50.944203,2025-03-26 17:01:50.944203,1,-10,76.58,-12.76,-20,200,6,N/A,Não,nao,nao
24,ped-94659,918.0,6,app,pagamento,arrependimento,Tecnologia,media,Média,2024-04-09 00:59:41.468345,2024-04-09 08:59:41.468345,2024-04-10 23:59:41.468345,1,-10,90.43,-15.07,50,-100,6,promotor,Sim,Não,nao
1578,PED-25670,393.0,48,telefone,Produto com defeito,estorno,Comercial,Alta,Baixa,2025-07-08 05:55:04.193184,2025-07-08 15:55:04.193184,2025-07-10 19:55:04.193184,3,-10,54.04,-9.01,50,200,0,Neutro,SIM,Não,Sim
101,ped-72746,698.0,4,app,troca,atraso,Logística,Crítica,Alta,2024-08-16 05:25:14.016002,2024-08-16 10:25:14.016002,2024-08-18 05:25:14.016002,0,43,76.64,27.53,0,-100,6,promotor,NAO,nao,Sim
3627,ped-66207,1165.0,40,chat online,entrega,erro cobrança,Tecnologia,media,Média,2024-03-06 10:27:29.466553,2024-03-06 06:27:29.466553,2024-03-07 14:27:29.466553,3,43,99.51,383.4,-20,-100,5,N/A,nao,nao,nao
28,PED-44675,871.0,35,App,Pagamento,Produto errado,logistica,baixa,Baixa,2025-09-29 19:16:38.464960,2025-09-29 21:16:38.464960,2025-10-01 03:16:38.464960,0,75,32.52,40.65,-20,500,3,promotor,SIM,sim,nao
2641,PED-13390,1381.0,49,Chat Online,Produto com defeito,Atraso,logistica,critica,alta,2024-08-29 02:22:04.200975,2024-08-29 07:22:04.200975,2024-08-31 12:22:04.200975,0,-10,75.98,-12.66,-20,-100,0,Promotor,nao,Sim,nao
4059,PED-96846,932.0,21,app,produto com defeito,atraso,financeiro,Baixa,alta,2025-01-17 16:47:55.362739,2025-01-18 00:47:55.362739,2025-01-18 17:47:55.362739,3,-10,97.52,-16.25,100,200,6,Promotor,sim,sim,nao
31,PED-30758,,6,App,entrega,Estorno,Logística,Média,Alta,2025-02-17 07:13:19.817223,2025-02-17 14:13:19.817223,2025-02-18 09:13:19.817223,3,-10,70.03,-11.67,0,200,5,Neutro,Não,nao,Sim
22,ped-86931,,35,telefone,produto com defeito,Arrependimento,Comercial,Crítica,Alta,2025-11-03 18:19:59.210571,2025-11-03 23:19:59.210571,2025-11-06 01:19:59.210571,2,65,56.54,99.35,-20,-100,2,Neutro,Não,sim,sim
33,PED-78937,1480.0,27,Chat Online,Pagamento,atraso,financeiro,Alta,Média,2024-11-03 09:19:13.038232,2024-11-03 13:19:13.038232,2024-11-06 12:19:13.038232,2,-10,23.49,-3.91,100,500,0,Promotor,sim,sim,Sim
741,PED-22903,909.0,45,app,Entrega,Atraso,Financeiro,Baixa,Média,2026-01-29 02:16:20.662389,2026-01-29 14:16:20.662389,,1,-10,96.33,-16.05,100,-100,6,Promotor,sim,sim,Não
35,ped-70443,,43,Site,troca,Produto errado,Tecnologia,Média,Baixa,2025-11-01 14:20:17.892448,2025-11-01 20:20:17.892448,,0,-10,65.27,-10.88,0,0,6,N/A,Não,Não,nao
36,ped-61879,17.0,39,chat online,troca,Produto errado,logistica,alta,baixa,2024-07-01 18:36:45.405785,2024-07-02 00:36:45.405785,2024-07-05 05:36:45.405785,2,-10,56.55,-9.42,100,500,1,neutro,nao,sim,sim
2418,PED-64460,,34,WhatsApp,Produto com defeito,Erro na cobrança,Financeiro,critica,Média,2026-01-19 02:02:45.339660,2026-01-19 06:02:45.339660,2026-01-22 18:02:45.339660,-1,103,70.26,120.61,0,200,4,Detrator,SIM,Não,Sim
38,ped-58311,,41,Aplicativo,entrega,erro cobrança,financeiro,Baixa,alta,2024-02-22 19:59:56.856396,2024-02-23 01:59:56.856396,2024-02-25 08:59:56.856396,0,23,88.81,34.04,100,-100,3,N/A,Não,Sim,sim
39,ped-27781,,43,chat online,Cancelamento,arrependimento,Comercial,Média,Alta,2025-12-17 01:34:18.314365,2025-12-17 07:34:18.314365,2025-12-20 13:34:18.314365,0,-10,92.75,-15.46,100,0,2,Promotor,SIM,nao,Sim
3262,ped-26011,188.0,42,Chat Online,Entrega,Atraso,Financeiro,media,baixa,2025-11-07 20:09:09.609010,2025-11-07 22:09:09.609010,,1,-10,37.38,-6.23,0,200,6,Neutro,nao,sim,Sim
41,PED-96646,,16,whatsapp,produto com defeito,Atraso,logistica,Alta,Baixa,2025-10-08 17:17:05.898888,2025-10-08 21:17:05.898888,2025-10-13 05:17:05.898888,3,31,85.04,43.94,0,-100,0,N/A,sim,Não,sim
42,ped-72781,874.0,32,chat online,troca,atraso,Logística,alta,alta,2025-04-30 19:58:16.538190,2025-05-01 07:58:16.538190,,-1,-10,55.86,-9.31,-20,0,6,promotor,nao,Sim,sim
3524,ped-64239,,27,chat online,entrega,Arrependimento,financeiro,alta,Média,2024-06-13 10:22:27.476181,2024-06-13 12:22:27.476181,2024-06-14 23:22:27.476181,3,-10,50.47,-8.41,50,500,6,neutro,Sim,Sim,Não
3366,PED-97207,,23,site,Cancelamento,erro cobrança,logistica,critica,baixa,2025-10-02 17:50:16.142971,2025-10-02 20:50:16.142971,,0,111,27.46,370.7,0,-100,6,Detrator,nao,sim,Sim
1478,ped-54541,13.0,10,whatsapp,Troca,atraso,logistica,Baixa,Baixa,2024-05-15 18:35:31.742456,2024-05-16 00:35:31.742456,2024-05-16 13:35:31.742456,1,78,84.58,109.95,-20,-100,5,Detrator,NAO,sim,Sim
669,ped-96761,,27,app,pagamento,estorno,Logística,alta,Alta,2024-11-08 07:21:37.011782,2024-11-08 16:21:37.011782,2024-11-10 09:21:37.011782,2,-10,32.59,-5.43,50,-100,5,Promotor,sim,Não,Sim
47,PED-26932,,5,Telefone,Entrega,arrependimento,Logística,critica,Baixa,2024-08-06 00:49:02.483355,2024-08-06 04:49:02.483355,,0,-10,98.76,106.19,0,0,0,Neutro,Sim,Sim,nao
48,ped-67104,1074.0,26,app,produto com defeito,erro cobrança,Financeiro,Média,Baixa,2025-07-08 01:44:45.516826,2025-07-08 11:44:45.516826,,-1,-10,43.16,-7.19,50,0,0,N/A,NAO,sim,Sim
49,ped-74764,,44,whatsapp,produto com defeito,Arrependimento,logistica,critica,Baixa,2024-10-28 13:32:21.560012,2024-10-29 00:32:21.560012,2024-10-31 10:32:21.560012,3,-10,48.09,-8.02,0,0,1,Neutro,sim,Não,Não
50,PED-68947,,33,SITE,Entrega,Estorno,Logística,alta,Baixa,2024-04-12 16:22:48.389078,2024-04-13 00:22:48.389078,2024-04-16 23:22:48.389078,1,80,48.16,233.56,0,0,0,Promotor,NAO,Sim,nao
51,ped-94843,,7,WhatsApp,Troca,Produto errado,Financeiro,Média,Média,2026-01-03 04:28:32.252041,2026-01-03 15:28:32.252041,2026-01-03 11:28:32.252041,0,-10,99.28,-16.55,-20,0,0,Neutro,Não,nao,sim
3469,ped-57526,370.0,22,telefone,pagamento,erro cobrança,logistica,Média,Baixa,2024-03-19 06:58:45.646782,2024-03-19 05:58:45.646782,2024-03-22 03:58:45.646782,-1,-10,30.32,-5.05,0,200,0,detrator,SIM,Não,Sim
2335,PED-40671,,13,Aplicativo,troca,Estorno,Financeiro,Crítica,alta,2025-07-04 10:10:58.050178,2025-07-04 12:10:58.050178,2025-07-08 00:10:58.050178,1,117,67.78,94.52,-20,0,4,neutro,SIM,Não,nao
54,PED-45755,896.0,15,telefone,produto com defeito,Atraso,financeiro,Baixa,Alta,2024-04-16 21:48:41.791159,2024-04-17 04:48:41.791159,2024-04-21 07:48:41.791159,0,107,89.84,242.89,50,-100,6,N/A,nao,Sim,sim
55,ped-12490,442.0,36,chat online,Cancelamento,arrependimento,Logística,Alta,baixa,2025-05-03 14:44:47.375987,2025-05-03 20:44:47.375987,2025-05-05 17:44:47.375987,0,52,22.26,19.29,50,0,2,Neutro,Não,Não,nao
2387,ped-90584,,12,Chat Online,entrega,estorno,Financeiro,baixa,alta,2024-08-24 09:46:59.723553,2024-08-24 11:46:59.723553,2024-08-25 17:46:59.723553,2,-10,25.02,-4.17,100,-100,5,detrator,nao,Não,Não
57,ped-81567,1317.0,50,Chat Online,troca,Estorno,Tecnologia,Média,baixa,2024-02-23 02:12:51.702438,2024-02-23 11:12:51.702438,2024-02-25 05:12:51.702438,2,-10,98.48,-16.41,0,200,0,promotor,NAO,Sim,sim
2344,ped-95948,560.0,24,Telefone,Troca,Estorno,financeiro,alta,baixa,2025-09-25 07:39:20.993025,2025-09-25 16:39:20.993025,2025-09-28 00:39:20.993025,0,10,90.86,15.14,50,-100,6,neutro,SIM,Sim,Não
2511,PED-88986,,23,telefone,Entrega,Arrependimento,Comercial,Crítica,Média,2025-02-26 05:01:19.738407,2025-02-26 17:01:19.738407,,3,39,78.17,303.21,0,-100,0,Promotor,Sim,sim,sim
60,ped-58015,785.0,39,SITE,troca,Arrependimento,Financeiro,critica,Baixa,2025-11-23 01:39:26.447173,2025-11-23 02:39:26.447173,2025-11-26 16:39:26.447173,-1,-10,61.05,-10.17,0,0,6,detrator,Não,Sim,Não
1758,PED-74382,278.0,29,SITE,troca,atraso,Tecnologia,alta,Média,2024-04-25 11:36:30.754109,2024-04-25 14:36:30.754109,2024-04-27 15:36:30.754109,1,-10,39.97,369.16,100,-100,6,Promotor,SIM,sim,nao
62,ped-82616,958.0,40,site,entrega,Produto errado,financeiro,critica,alta,2025-06-23 14:27:17.546318,2025-06-23 16:27:17.546318,2025-06-28 10:27:17.546318,1,113,76.94,144.9,0,200,5,Promotor,sim,Não,Não
63,PED-26274,623.0,11,Aplicativo,pagamento,Arrependimento,Comercial,Alta,Baixa,2025-10-30 02:09:51.888736,2025-10-30 09:09:51.888736,2025-10-30 20:09:51.888736,1,87,56.0,81.2,50,0,6,Detrator,sim,Não,nao
64,ped-85598,1334.0,50,whatsapp,Troca,Atraso,financeiro,Alta,Média,2025-06-23 08:54:50.501700,2025-06-23 12:54:50.501700,2025-06-24 02:54:50.501700,-1,43,60.21,471.1,0,0,6,Detrator,SIM,Sim,Sim
65,PED-58567,654.0,30,site,Produto com defeito,Estorno,logistica,Média,Baixa,2025-03-17 05:47:12.820725,2025-03-17 09:47:12.820725,,2,14,32.65,7.62,100,0,6,promotor,SIM,sim,sim
66,ped-61543,494.0,38,Aplicativo,Entrega,Atraso,Financeiro,critica,alta,2025-07-02 04:48:26.432509,2025-07-02 08:48:26.432509,,0,115,85.08,163.07,50,0,0,Detrator,Não,nao,sim
4533,ped-60639,,40,Chat Online,entrega,Erro na cobrança,Logística,Crítica,Média,2026-01-15 02:34:37.354028,2026-01-15 13:34:37.354028,,3,6,54.47,5.45,50,500,3,neutro,Sim,Não,sim
68,ped-90805,,33,WhatsApp,Cancelamento,Estorno,Tecnologia,Alta,Alta,2025-09-04 13:08:31.566486,2025-09-04 22:08:31.566486,2025-09-08 15:08:31.566486,0,-10,60.01,72.83,50,500,0,promotor,nao,Não,sim
4781,ped-78712,303.0,3,whatsapp,entrega,erro cobrança,Logística,critica,Média,2024-07-16 02:35:16.295728,2024-07-16 08:35:16.295728,2024-07-16 20:35:16.295728,2,-10,83.74,-13.96,0,-100,0,detrator,nao,Não,Sim
70,ped-79878,,44,chat online,Produto com defeito,Estorno,logistica,media,Média,2024-04-25 23:07:34.582679,2024-04-26 02:07:34.582679,,2,-10,89.83,-14.97,0,0,5,Detrator,SIM,nao,nao
3233,PED-29198,590.0,23,telefone,Produto com defeito,Estorno,logistica,media,alta,2024-12-14 00:06:14.219748,2024-12-14 05:06:14.219748,2024-12-15 16:06:14.219748,1,95,75.22,119.1,100,200,6,Neutro,SIM,Sim,nao
72,PED-10679,,31,Chat Online,pagamento,Produto errado,Financeiro,Alta,Baixa,2025-04-07 20:09:56.997375,2025-04-08 05:09:56.997375,2025-04-08 15:09:56.997375,0,83,39.4,54.5,-20,0,2,Promotor,Não,sim,nao
2332,ped-81211,,18,App,entrega,Arrependimento,logistica,critica,Média,2025-07-10 19:01:22.217757,2025-07-10 21:01:22.217757,2025-07-12 05:01:22.217757,2,117,94.71,418.92,100,0,3,Promotor,SIM,Sim,sim
74,ped-72580,509.0,17,Telefone,pagamento,Estorno,Financeiro,alta,Média,2024-05-11 21:29:57.248986,2024-05-12 00:29:57.248986,2024-05-15 21:29:57.248986,1,-10,65.42,-10.9,0,-100,0,Detrator,SIM,Sim,nao
75,PED-27507,,27,chat online,Cancelamento,Estorno,Comercial,media,baixa,2025-11-05 04:53:03.488526,2025-11-05 16:53:03.488526,2025-11-06 15:53:03.488526,-1,51,24.97,156.87,100,-100,6,Promotor,NAO,sim,sim
2688,PED-25235,,6,WhatsApp,troca,Atraso,financeiro,Média,alta,2024-02-15 07:19:42.458797,2024-02-15 17:19:42.458797,2024-02-18 04:19:42.458797,2,-10,26.25,-4.38,0,-100,5,Detrator,nao,Não,Não
77,PED-19046,,12,SITE,Troca,Arrependimento,financeiro,critica,Alta,2025-10-12 23:52:14.538527,2025-10-13 07:52:14.538527,2025-10-16 00:52:14.538527,2,-10,77.86,-12.98,0,0,5,Promotor,Não,sim,Sim
78,PED-70375,565.0,47,site,Entrega,arrependimento,Comercial,Baixa,baixa,2025-02-21 00:40:56.252349,2025-02-21 02:40:56.252349,2025-02-24 13:40:56.252349,1,20,99.43,33.14,0,0,1,Neutro,Não,nao,nao
4731,PED-41051,1353.0,27,app,Produto com defeito,Atraso,Comercial,Média,Alta,2024-02-27 06:28:03.629495,2024-02-27 08:28:03.629495,2024-03-01 12:28:03.629495,0,62,39.58,222.29,-20,0,1,Detrator,SIM,Não,sim
1847,PED-28920,,27,WhatsApp,Cancelamento,Erro na cobrança,financeiro,media,Média,2024-03-24 20:26:58.851739,2024-03-25 04:26:58.851739,2024-03-26 18:26:58.851739,-1,-10,82.86,-13.81,100,500,0,neutro,sim,nao,Não
81,ped-37379,621.0,14,App,entrega,Estorno,logistica,media,Alta,2026-01-10 01:22:02.292571,2026-01-10 07:22:02.292571,2026-01-15 01:22:02.292571,2,-10,27.4,-4.57,0,0,0,detrator,nao,Sim,Sim
1665,PED-51015,1153.0,48,SITE,Entrega,Produto errado,Comercial,Crítica,Média,2024-07-06 22:52:46.990106,2024-07-07 07:52:46.990106,2024-07-11 03:52:46.990106,1,-10,62.69,-10.45,50,200,0,neutro,Sim,nao,sim
1379,ped-28344,377.0,34,Site,entrega,Atraso,Logística,Crítica,baixa,2025-03-21 09:10:27.088081,2025-03-21 13:10:27.088081,2025-03-22 16:10:27.088081,2,77,59.94,76.92,50,200,6,detrator,NAO,nao,nao
84,ped-46010,,12,site,entrega,estorno,logistica,media,baixa,2024-08-08 04:27:18.418965,2024-08-08 08:27:18.418965,2024-08-12 00:27:18.418965,0,6,60.46,6.05,-20,-100,6,neutro,Sim,Sim,nao
766,ped-59436,115.0,45,SITE,entrega,Estorno,financeiro,alta,alta,2024-06-27 23:45:26.021734,2024-06-28 08:45:26.021734,2024-07-02 09:45:26.021734,1,-10,26.32,-4.39,100,-100,6,promotor,SIM,Sim,Sim
86,ped-20084,333.0,37,Telefone,Cancelamento,Arrependimento,financeiro,Média,Baixa,2024-12-20 03:15:02.469107,2024-12-20 14:15:02.469107,2024-12-22 03:15:02.469107,0,-10,41.69,-6.95,50,-100,6,Promotor,sim,sim,Sim
87,ped-82487,885.0,44,whatsapp,Troca,atraso,Comercial,Alta,baixa,2025-06-02 20:56:51.505759,2025-06-03 08:56:51.505759,2025-06-03 04:56:51.505759,0,60,87.09,87.09,-20,-100,0,Promotor,NAO,sim,nao
88,ped-66489,,7,Site,entrega,Arrependimento,Comercial,baixa,alta,2025-05-19 12:35:15.263261,2025-05-19 14:35:15.263261,2025-05-21 00:35:15.263261,0,53,79.17,69.93,0,0,0,neutro,SIM,sim,Sim
1138,ped-45180,299.0,11,Telefone,Produto com defeito,arrependimento,Financeiro,critica,Baixa,2025-10-17 12:14:26.659519,2025-10-17 18:14:26.659519,,1,-10,82.33,-13.72,-20,0,6,promotor,NAO,nao,Não
90,PED-49378,,12,Telefone,produto com defeito,Produto errado,Tecnologia,critica,alta,2024-10-18 07:23:53.929045,2024-10-18 12:23:53.929045,2024-10-22 05:23:53.929045,-1,68,56.63,8.35,100,200,0,N/A,SIM,nao,sim
91,ped-98208,,16,app,Pagamento,arrependimento,financeiro,baixa,Alta,2025-03-26 00:03:16.529768,2025-03-26 06:03:16.529768,,2,51,94.57,498.65,0,-100,6,neutro,NAO,Não,nao
363,PED-53463,22.0,17,App,Cancelamento,estorno,Comercial,media,Alta,2025-03-05 18:24:44.115617,2025-03-06 02:24:44.115617,,3,-10,76.13,-12.69,-20,0,1,detrator,NAO,sim,Não
4269,PED-55652,,21,site,Produto com defeito,Atraso,Tecnologia,baixa,Baixa,2024-09-20 17:38:42.162274,2024-09-21 00:38:42.162274,,1,-10,28.36,-4.73,0,0,0,Neutro,SIM,nao,Não
3541,PED-13826,,25,Site,pagamento,erro cobrança,Financeiro,baixa,alta,2025-05-09 05:24:08.642334,2025-05-09 16:24:08.642334,2025-05-12 21:24:08.642334,0,99,61.28,101.11,50,-100,0,promotor,Não,Não,Não
2851,PED-70012,,40,whatsapp,entrega,Erro na cobrança,Financeiro,baixa,baixa,2025-11-25 07:00:47.201885,2025-11-25 19:00:47.201885,2025-11-28 18:00:47.201885,1,-10,29.12,-4.85,100,-100,6,neutro,nao,nao,Sim
96,ped-51232,1269.0,23,Site,troca,Erro na cobrança,logistica,Crítica,alta,2024-11-08 16:11:01.808723,2024-11-08 18:11:01.808723,2024-11-10 17:11:01.808723,-1,-10,53.46,194.94,0,500,6,detrator,sim,Não,nao
97,PED-80465,,36,WhatsApp,entrega,atraso,Financeiro,alta,alta,2025-12-17 08:36:30.621233,2025-12-17 19:36:30.621233,,-1,-10,76.81,-12.8,0,0,5,N/A,sim,sim,Sim
4817,ped-92938,340.0,14,App,Entrega,Arrependimento,Comercial,Alta,alta,2026-02-09 02:53:42.861266,2026-02-09 11:53:42.861266,2026-02-13 04:53:42.861266,0,99,43.82,72.3,100,200,3,neutro,Sim,Não,Não
99,ped-42447,1003.0,37,Chat Online,Produto com defeito,arrependimento,financeiro,critica,Baixa,2024-07-20 01:18:38.983556,2024-07-20 04:18:38.983556,2024-07-23 21:18:38.983556,1,-10,96.19,-16.03,0,0,4,Neutro,NAO,Não,Não
4379,PED-38551,,21,app,produto com defeito,estorno,Comercial,Média,alta,2024-12-14 13:59:59.970110,2024-12-14 15:59:59.970110,,-1,-10,56.38,-9.4,-20,0,6,neutro,NAO,sim,Sim
1303,ped-95798,513.0,24,Chat Online,Pagamento,Atraso,financeiro,Alta,baixa,2025-05-31 10:33:39.961154,2025-05-31 16:33:39.961154,2025-05-31 17:33:39.961154,0,-10,21.3,-3.55,0,500,4,neutro,sim,Não,sim
102,PED-40008,1497.0,7,Aplicativo,produto com defeito,Produto errado,logistica,Crítica,baixa,2024-05-30 02:10:18.658895,2024-05-30 13:10:18.658895,2024-06-02 22:10:18.658895,0,5,58.14,116.96,100,0,6,Neutro,Sim,nao,Não
103,ped-87276,,21,SITE,pagamento,Produto errado,Tecnologia,baixa,baixa,2024-07-15 21:04:14.565319,2024-07-16 08:04:14.565319,2024-07-16 07:04:14.565319,3,77,68.83,178.84,0,0,6,detrator,Não,Não,Sim
104,PED-75481,1082.0,24,Aplicativo,Pagamento,arrependimento,Comercial,Crítica,Média,2024-02-19 12:12:12.916574,2024-02-19 22:12:12.916574,2024-02-23 17:12:12.916574,-1,-10,36.44,-6.07,0,500,6,Promotor,sim,nao,nao
105,PED-93956,569.0,20,site,Cancelamento,erro cobrança,logistica,alta,Alta,2025-02-21 22:35:18.903177,2025-02-22 09:35:18.903177,2025-02-26 01:35:18.903177,2,103,21.34,134.78,0,0,6,Neutro,NAO,nao,nao
106,ped-31473,,11,Aplicativo,Pagamento,Produto errado,Tecnologia,baixa,Baixa,2025-08-01 00:46:32.158917,2025-08-01 11:46:32.158917,2025-08-02 17:46:32.158917,-1,60,24.63,220.07,100,-100,5,Neutro,NAO,Não,Sim
107,PED-39937,91.0,16,Site,troca,Arrependimento,financeiro,Média,baixa,2024-11-30 01:08:52.100360,2024-11-30 08:08:52.100360,2024-12-02 22:08:52.100360,0,38,59.69,37.8,0,500,5,Neutro,sim,sim,Sim
108,ped-19034,,21,site,Cancelamento,Estorno,Logística,alta,baixa,2024-03-19 21:24:29.409337,2024-03-20 09:24:29.409337,,1,-10,93.27,-15.54,0,-100,3,Detrator,NAO,Sim,Não
4437,ped-11257,,48,chat online,Produto com defeito,atraso,logistica,media,Alta,2024-05-14 00:32:13.615223,2024-05-14 10:32:13.615223,2024-05-18 00:32:13.615223,3,-10,49.46,-8.24,0,-100,2,Promotor,Não,Sim,Não
110,PED-87580,891.0,16,app,Produto com defeito,Arrependimento,financeiro,alta,Média,2024-07-15 08:11:46.516226,2024-07-15 09:11:46.516226,2024-07-19 05:11:46.516226,1,16,93.7,24.99,-20,500,0,detrator,Sim,Sim,Não
3796,PED-25717,,46,chat online,Entrega,erro cobrança,Financeiro,Média,Baixa,2025-12-07 13:37:49.823968,2025-12-07 18:37:49.823968,2025-12-08 00:37:49.823968,0,22,32.43,235.7,100,0,0,N/A,sim,nao,sim
112,PED-28322,127.0,9,App,Troca,Arrependimento,Tecnologia,baixa,alta,2024-02-29 03:15:53.288433,2024-02-29 07:15:53.288433,2024-03-02 07:15:53.288433,3,-10,40.81,-6.8,0,500,6,detrator,nao,Não,Sim
113,ped-99550,,14,SITE,Produto com defeito,Produto errado,financeiro,Média,Baixa,2026-01-03 19:00:18.796685,2026-01-04 00:00:18.796685,2026-01-03 23:00:18.796685,0,-10,84.74,424.4,50,0,0,Promotor,sim,nao,nao
