id_lancamento,data,tipo,categoria,descricao,valor,id_pedido
139,2025-10-11,receita,Marketing,Neque doloribus fugit.,670.47,PED-57472
140,2024-02-15,Despesa,marketing,Hic molestiae delectus deleniti.,709.74,PED-78386
141,2024-12-21,Despesa,Tecnologia,Rerum saepe.,7492.83,PED-70931
142,2025-05-29,Despesa,Tecnologia,Dolor quos.,-2632.09,
143,2025-07-17,receita,RH,Tempora ex asperiores ad iure.,-3122.73,PED-70910
144,2025-01-13,receita,Marketing,Adipisci doloribus.,1886.13,
145,2024-06-04,receita,marketing,Excepturi nobis cupiditate.,-903.5,PED-43862
146,2024-08-19,receita,Tecnologia,Explicabo porro adipisci voluptas hic.,6023.68,
147,2025-01-28,Despesa,marketing,Voluptas inventore esse aliquid eum.,-6287.74,PED-63271
148,2024-10-04,Despesa,marketing,Alias occaecati saepe.,5812.19,PED-94659
149,2024-04-22,receita,Marketing,Similique saepe alias.,-6138.93,PED-39045
150,2025-06-06,Despesa,marketing,Inventore deleniti eos minima.,-1875.88,PED-86225
151,2024-02-24,receita,Tecnologia,Ipsam veniam.,2618.44,PED-65771
152,2024-10-13,receita,Receita,Dicta voluptas quibusdam accusamus.,1074.91,PED-50189
153,2025-09-09,Receita,Marketing,Aspernatur mollitia at magni.,6425.69,
154,2025-12-26,Despesa,Tecnologia,Recusandae excepturi perspiciatis.,11017.55,
155,2024-11-28,Receita,Receita,Eligendi hic natus corporis.,1683.97,PED-87278
156,2024-11-18,Receita,marketing,Nulla commodi cupiditate molestias.,-2075.07,
157,2025-11-06,receita,Marketing,Dolore nesciunt nihil at.,6160.37,PED-26591
158,2026-01-16,Receita,Marketing,Quibusdam voluptas illo.,3067.18,PED-26551
159,2026-01-27,Receita,Marketing,Aut sit dignissimos aspernatur.,3481.28,PED-71524
160,2025-01-02,receita,Logística,Modi fugit veniam incidunt id.,-4312.73,PED-16734
161,2025-11-28,receita,Marketing,Nemo incidunt quaerat.,8442.31,PED-62521
162,2025-07-06,Receita,Tecnologia,Esse impedit magni.,4588.91,
163,2025-02-25,Receita,Tecnologia,Ipsa dolorum id distinctio.,10982.51,
164,2025-11-09,Receita,Tecnologia,Aut hic deleniti iste quos.,7288.87,
165,2024-04-24,Despesa,RH,Velit impedit perferendis voluptate.,1010.29,PED-68028
166,2025-09-27,Despesa,RH,Ducimus eius distinctio.,-1892.4,
167,2024-08-12,Despesa,Receita,Dolores accusantium minus.,-6015.33,
168,2025-01-07,receita,Receita,Doloremque inventore qui pariatur.,-6376.25,
169,2024-12-07,Despesa,Marketing,Commodi provident necessitatibus impedit.,-4869.35,PED-63545
170,2024-08-20,Despesa,Tecnologia,Ad soluta maxime.,1398.25,
171,2025-11-11,receita,Receita,Praesentium labore eaque.,-2345.63,
172,2025-01-18,Despesa,marketing,Eos modi iusto aliquam.,10478.22,
173,2025-12-05,receita,Marketing,Aliquam ad veniam.,2891.25,
174,2025-02-12,receita,marketing,Excepturi fugiat vitae.,-6571.8,PED-31747
175,2025-12-20,Despesa,Receita,Eveniet iusto sit aut iste.,8484.81,PED-47828
176,2025-08-25,Receita,RH,Magnam culpa ipsa provident.,5773.56,PED-62757
177,2025-11-16,Despesa,Tecnologia,Ipsam animi quod.,1875.9,
178,2025-02-20,receita,Receita,Nesciunt quisquam sed quia voluptates.,-1553.57,
179,2025-09-03,Receita,marketing,Odit rem ipsum reiciendis.,11238.22,
180,2026-01-17,Despesa,Logística,Beatae animi reprehenderit animi.,3524.94,PED-32962
181,2025-03-11,Despesa,Receita,A porro deserunt adipisci.,844.59,
182,2025-04-13,Despesa,RH,Necessitatibus vitae natus.,4695.69,
183,2024-09-24,receita,Logística,Consequuntur enim quis voluptatum ullam.,166.96,
184,2025-05-22,Receita,Logística,Accusantium incidunt.,232.9,PED-74942
185,2024-09-02,Despesa,RH,Nisi excepturi veritatis nulla.,8271.32,
186,2024-04-29,receita,Marketing,Officia excepturi voluptatibus assumenda.,-1709.66,
187,2024-02-23,receita,Tecnologia,Earum eveniet repellendus.,8498.54,PED-10150
188,2025-05-19,receita,Marketing,Deserunt consectetur nemo.,-4248.35,PED-57419
189,2024-04-20,Despesa,RH,Exercitationem necessitatibus provident quo.,7199.81,PED-36680
190,2025-10-29,Despesa,marketing,Dicta cumque repudiandae.,10553.46,PED-67424
191,2024-12-23,Receita,Marketing,Facere illum.,11462.94,
192,2024-06-17,Despesa,marketing,Saepe quas animi.,-1785.0,PED-11792
193,2024-11-22,Receita,marketing,Ipsa pariatur porro sapiente.,11845.14,PED-24871
194,2024-12-08,Receita,Receita,Neque earum sunt soluta.,8642.86,PED-75323
195,2025-10-26,Despesa,Receita,Dolore nesciunt expedita deserunt et.,-2531.5,PED-73242
196,2025-08-08,Receita,RH,Animi ea.,3025.3,
197,2024-06-08,Despesa,Tecnologia,Optio quisquam error.,6925.85,
198,2025-10-16,receita,RH,Iure reprehenderit quibusdam.,-1202.5,PED-76550
199,2025-04-20,Receita,Logística,Vel quasi temporibus.,6521.02,PED-86931
200,2026-01-02,Receita,RH,Perferendis odio.,2771.61,PED-55236
201,2025-11-26,Despesa,Tecnologia,Distinctio enim ab reiciendis.,-455.8,
202,2026-01-12,Despesa,marketing,Rerum excepturi assumenda.,3435.95,PED-40613
203,2024-05-19,Receita,Logística,Alias consequuntur.,6894.1,PED-59968
204,2024-02-24,Despesa,Receita,Eveniet ipsa accusamus hic.,11616.36,
205,2025-01-07,Receita,Tecnologia,Quae ipsum quisquam eius aliquam.,11307.07,
206,2025-09-27,receita,Marketing,Voluptatem illo velit.,2519.02,
207,2024-07-19,Despesa,marketing,Corporis laudantium perferendis.,199.57,
208,2025-03-11,Receita,RH,Facilis tempora reprehenderit corrupti.,7630.51,PED-44737
209,2024-07-13,Despesa,Receita,Ad ratione eum.,-50.33,PED-20527
210,2024-07-17,Despesa,Tecnologia,Ipsam ipsa velit.,-399.81,PED-51505
211,2024-06-30,Despesa,Marketing,Saepe aperiam officia quas.,4349.19,PED-40771
212,2025-02-18,Receita,Receita,Amet quisquam corporis.,-6192.41,
213,2025-06-20,receita,marketing,Natus quis quam quis reprehenderit.,5880.02,
214,2024-09-21,receita,Marketing,Voluptatum impedit officia dolor veniam.,-2132.64,PED-59131
215,2024-05-12,Receita,marketing,Earum aut modi.,2623.33,
216,2025-11-19,Receita,marketing,Recusandae ab.,-6420.63,
217,2025-02-18,receita,Tecnologia,Officiis labore pariatur suscipit.,-5137.65,PED-70443
218,2025-07-27,receita,Logística,Impedit recusandae beatae.,5336.81,PED-70981
219,2024-02-26,Despesa,Tecnologia,Autem voluptatum voluptatibus animi eligendi.,-4840.49,PED-67898
220,2024-04-26,Despesa,Logística,Tenetur voluptate nobis error.,4778.77,PED-65615
221,2025-01-27,receita,Logística,Maiores pariatur laborum quia.,-4015.66,PED-60422
222,2025-11-09,Receita,marketing,Nostrum mollitia.,-372.71,PED-57049
223,2025-02-12,Despesa,Logística,Voluptates tempore et unde.,-7561.21,PED-96275
224,2024-02-29,receita,Marketing,Possimus nobis vel architecto.,3318.58,
225,2025-03-25,Despesa,Receita,Vel tenetur modi.,1934.55,
226,2025-08-21,Despesa,Logística,Delectus aspernatur.,-3619.91,PED-34920
227,2025-12-07,Despesa,Receita,Est odio odio.,7349.42,
228,2025-03-09,Despesa,Marketing,Distinctio fugit similique impedit.,10068.07,
229,2025-08-12,receita,RH,Aliquam molestias.,-7332.71,
230,2026-01-30,Receita,Logística,Quibusdam minus.,-1465.62,
231,2025-10-08,Receita,marketing,Nulla itaque.,7730.26,PED-57953
232,2025-07-02,Receita,Logística,Quasi exercitationem dolore.,10280.98,PED-73156
233,2025-11-11,Despesa,Logística,Provident magni maiores iste dignissimos.,8084.65,
234,2024-10-21,Receita,marketing,Harum non repudiandae molestias.,9202.81,PED-98395
235,2024-09-13,Despesa,Logística,Perferendis esse deleniti nulla explicabo.,-6193.94,
236,2025-09-27,receita,Tecnologia,Quae aspernatur.,-5528.23,PED-58311
237,2024-07-24,Despesa,RH,Perspiciatis nihil laborum voluptatem.,8448.35,
238,2024-06-16,Despesa,marketing,Nemo molestias quos.,1429.54,PED-91205
239,2024-08-07,Despesa,marketing,Iusto delectus harum vero debitis.,4953.05,PED-93283
240,2024-08-30,Despesa,Logística,Quia optio esse laudantium.,4984.79,
241,2025-10-05,Receita,Marketing,Saepe eius culpa iure.,-1912.71,
242,2025-06-18,Receita,marketing,Officiis quia eos officia.,9745.19,PED-27781
243,2024-10-12,receita,Logística,Cum occaecati sunt iste.,5409.72,PED-80804
244,2024-09-27,Despesa,Receita,Consectetur eius.,6531.98,
245,2025-08-13,receita,Tecnologia,Minima praesentium laboriosam architecto.,162.32,
246,2024-04-29,Despesa,Logística,Ex iusto fugiat error minus.,-3654.61,
247,2025-06-24,receita,Marketing,Ullam itaque non.,11618.55,PED-58147
248,2025-12-16,Receita,RH,Impedit quae.,-2482.37,PED-26011
249,2025-12-06,Receita,Receita,Animi repellat.,-3757.88,
250,2024-09-02,Receita,Logística,Repellendus mollitia.,-3128.62,
251,2024-11-20,Receita,Tecnologia,Illo harum veritatis quaerat necessitatibus.,-3856.85,
252,2025-12-14,receita,marketing,Cumque veritatis quas totam.,7772.88,
253,2024-07-02,receita,marketing,Delectus quibusdam nulla quis quas.,11750.55,PED-80807
254,2024-06-06,Receita,Marketing,A suscipit ex.,5221.15,
255,2024-06-09,Receita,Logística,Veritatis accusamus esse in a.,7799.69,PED-41186
256,2024-08-09,Receita,marketing,Eum officia.,-2692.65,PED-26614
257,2025-10-25,Despesa,Marketing,Molestiae suscipit.,6913.31,PED-72422
258,2024-08-17,receita,Tecnologia,Sequi rem eius aspernatur quae.,3873.32,
259,2025-02-06,Despesa,Marketing,Minima voluptate.,6544.86,PED-96363
260,2026-01-30,receita,Receita,Doloremque nesciunt at saepe corrupti.,11280.52,PED-17972
261,2025-12-15,receita,RH,Soluta deleniti deserunt sint commodi.,5721.95,PED-74260
262,2025-02-10,Receita,Marketing,A non sed veniam.,-1557.76,
263,2026-01-31,Receita,Logística,Natus placeat.,4486.35,PED-86724
264,2025-11-16,receita,Tecnologia,Cumque pariatur.,2611.14,PED-69469
265,2025-10-29,Receita,Receita,Aliquam quasi modi minus.,-5711.72,
266,2024-12-10,receita,RH,Placeat eveniet quae ipsa aspernatur.,9761.82,PED-64239
267,2025-11-28,receita,RH,Dignissimos a deserunt officia aut.,319.79,PED-22463
268,2024-02-04,receita,Logística,Esse voluptatum tempore nihil.,5302.16,
269,2025-10-07,Despesa,RH,Unde ipsum esse consequatur in.,-6657.33,
270,2024-08-18,receita,Marketing,Eum alias quaerat aut.,6891.78,
271,2025-01-09,Despesa,Marketing,Aliquid veniam eaque.,3729.3,PED-83608
272,2024-08-01,Despesa,Marketing,Reprehenderit ducimus.,216.17,PED-97207
273,2024-11-21,Despesa,Marketing,Modi enim.,11367.97,PED-88696
274,2025-08-14,receita,Marketing,Ullam quae nisi itaque quas.,3558.37,
275,2025-05-17,Despesa,RH,Odit voluptate cumque.,-3515.1,PED-24184
276,2024-05-11,Despesa,Logística,Officia cupiditate voluptates.,-5702.29,
277,2026-01-19,receita,Tecnologia,Voluptatem ab quisquam quis velit.,11490.93,
278,2024-04-25,Despesa,Receita,Quaerat vero reiciendis.,8589.22,
279,2025-08-15,Receita,Logística,Laboriosam ab eos.,6053.98,PED-50499
280,2024-06-02,receita,Marketing,Exercitationem sapiente cum.,-4371.89,PED-28776
281,2024-12-19,Receita,marketing,Nesciunt reiciendis suscipit sapiente deserunt.,6819.38,
282,2026-01-05,Despesa,Tecnologia,Ut aspernatur eaque incidunt.,-3697.34,PED-65028
283,2024-07-18,receita,marketing,Fugit nesciunt sapiente illum.,-598.94,
284,2024-07-07,Receita,marketing,Molestiae nemo.,-4851.8,
285,2025-01-20,Despesa,Marketing,Recusandae ab delectus fuga.,-2557.94,PED-96761
286,2025-05-16,receita,Tecnologia,Ipsum corrupti perferendis ipsum voluptates.,840.88,
287,2025-11-12,Despesa,Marketing,Deleniti repellat neque odit error.,-1096.54,PED-24534
288,2025-01-24,Despesa,Receita,Repellat magnam sequi corporis.,3862.69,PED-79066
289,2024-12-21,Receita,marketing,Occaecati at cupiditate dolore.,-94.73,
290,2025-03-13,Receita,marketing,Molestias assumenda voluptatibus.,-1971.61,
291,2024-05-08,receita,Logística,Quos illum consequuntur molestiae asperiores.,-1437.55,PED-11013
292,2024-03-04,Despesa,RH,Enim sunt itaque deleniti.,-4486.1,
293,2025-08-14,Despesa,Tecnologia,Distinctio vitae tenetur dolorem facilis.,8667.08,
294,2024-12-16,receita,Receita,Sed doloribus voluptatem.,-7153.95,PED-12456
295,2024-05-04,Receita,Logística,Impedit deserunt architecto impedit.,3515.18,PED-85156
296,2025-08-23,Despesa,Receita,Molestias doloribus accusamus mollitia cupiditate.,353.88,PED-25096
297,2024-02-17,Receita,Logística,Laudantium aperiam qui est.,-4562.54,PED-91018
298,2025-03-19,Despesa,Logística,Magnam dolore maxime totam.,-6237.4,
299,2025-03-09,receita,Tecnologia,Quos sunt a ullam.,9.0,PED-20308
300,2024-12-10,receita,Receita,Nesciunt dolores.,-1209.73,
301,2024-05-24,Receita,Tecnologia,Quos recusandae harum.,4664.49,
302,2025-11-11,receita,Logística,Sunt ex odio.,6547.58,
303,2025-09-25,Receita,Marketing,Nostrum ullam illo ipsum.,-5071.12,
304,2024-05-04,Despesa,marketing,Repellat cumque culpa eum saepe.,7204.31,
305,2024-10-26,Receita,Receita,Commodi vel maiores.,1882.34,PED-83889
306,2024-11-02,Despesa,Tecnologia,Nostrum totam temporibus aspernatur at.,4859.84,PED-91857
307,2025-12-26,Despesa,Logística,Inventore optio quas.,-4980.85,PED-18950
308,2024-06-29,receita,Receita,Nemo fuga error.,-1943.59,
309,2025-12-20,receita,Tecnologia,Quod sequi.,-6516.19,PED-70521
310,2026-01-04,Receita,Marketing,Quas ex cupiditate sequi.,-625.25,
311,2024-02-28,Despesa,Marketing,Facilis hic nemo officia ipsam.,4300.17,PED-76462
312,2025-09-30,receita,Tecnologia,Molestias sequi aspernatur.,3086.33,PED-15376
313,2024-02-07,Despesa,Receita,Atque rerum.,-4235.21,PED-89299
314,2024-11-20,Despesa,marketing,Unde laudantium ipsa quas nisi.,11154.45,
315,2024-04-09,receita,Receita,Ut laudantium commodi.,-6313.42,
316,2025-12-13,Receita,marketing,Error eaque nesciunt.,6152.43,
317,2024-12-10,receita,Logística,Sed fugiat laudantium provident.,10358.74,PED-60779
318,2025-09-08,receita,Receita,Esse sint.,3957.72,PED-92691
319,2025-05-01,Receita,Logística,Ratione occaecati repudiandae in natus.,-6109.88,PED-98916
320,2025-03-25,receita,Logística,Neque modi vitae.,6474.67,
321,2025-05-11,receita,Marketing,Aliquam eligendi facilis.,3654.79,PED-28537
322,2025-12-07,receita,Receita,Ullam hic explicabo.,5969.6,
323,2025-04-12,Despesa,Receita,Sapiente voluptatibus ea quasi quisquam.,10760.04,PED-50577
324,2025-03-07,Despesa,Logística,Fuga quisquam possimus.,8263.7,
325,2024-04-30,Despesa,Receita,Ducimus quae.,468.13,
326,2026-01-20,receita,Logística,Sit voluptas nisi tenetur.,-4394.74,PED-38074
327,2026-01-19,receita,marketing,Reiciendis provident consequatur fuga.,-3469.14,
328,2024-03-17,Receita,Logística,Velit quasi saepe.,8888.57,
329,2024-10-22,Despesa,Logística,Repellendus rerum placeat tenetur.,9527.86,
330,2025-07-16,Despesa,RH,Tenetur similique.,-4914.94,
331,2024-08-07,Despesa,RH,Perspiciatis laboriosam ab soluta explicabo.,-7126.15,
332,2025-06-07,receita,Tecnologia,Vero accusantium accusamus odio.,-2301.44,
333,2025-11-30,Despesa,marketing,Accusamus quo non.,-1810.64,
334,2024-10-01,receita,Receita,Nesciunt dolor aliquid.,10942.6,PED-67749
335,2024-12-23,receita,RH,Porro animi dignissimos quam illo.,2058.13,
336,2024-10-06,Receita,Tecnologia,Ullam repellendus.,-5232.03,
337,2025-08-08,Despesa,RH,Velit totam dolorem labore.,9482.34,
338,2025-01-21,Despesa,Tecnologia,Amet nam repudiandae.,9023.32,
339,2024-11-07,Receita,Logística,Maiores harum porro similique tempora.,986.38,
340,2025-06-03,receita,Marketing,Maxime ea nesciunt.,10928.27,PED-39102
341,2025-09-04,receita,Marketing,Delectus consequuntur sint rerum.,297.94,PED-61964
342,2025-04-29,Receita,RH,Culpa nam eum error eius.,11890.51,
343,2025-09-07,Receita,Logística,Fugiat in accusantium excepturi.,10616.52,PED-95191
344,2025-04-08,Receita,marketing,Dolor dolorem expedita.,-7233.94,
345,2024-06-04,Despesa,RH,Facere asperiores quod soluta.,972.03,
346,2024-09-07,Receita,Logística,Iste laborum ex consectetur.,-3686.91,PED-29597
