id_compra,id_fornecedor,id_produto,data_compra,quantidade,preco_unitario,valor_total
110,102,234,2026-01-24,363,280.23,101723.58
111,25,409,2024-05-16,233,29.11,6782.32
112,9,792,2026-01-12,341,256.51,87471.25
113,66,410,2025-12-21,290,321.22,93154.48
114,4,119,2024-05-13,554,303.39,168075.67
115,34,40,2024-11-14,272,167.28,45500.84
116,45,747,2025-07-29,116,540.14,62656.42
117,66,119,2024-11-26,326,397.26,129507.85
118,25,261,2024-09-10,399,810.36,323332.93
119,1,533,2024-03-16,50,640.24,32011.82
120,95,755,2024-08-06,556,620.68,345096.18
121,9,681,2024-07-22,206,332.89,68574.42
122,85,128,2025-05-03,343,563.85,193402.14
123,86,419,2024-10-25,312,460.35,143630.22
124,38,568,2025-12-28,339,366.94,124393.05
125,86,389,2024-02-16,135,179.12,24181.38
126,39,416,2025-09-28,183,557.04,101938.19
127,39,294,2025-04-07,566,751.68,425452.49
128,75,622,2025-09-02,220,391.46,86121.25
129,57,692,2024-10-10,334,422.77,141205.0
130,102,754,2025-09-23,223,463.97,103464.69
131,37,528,2025-06-10,178,595.69,106033.69
132,97,241,2025-08-19,348,91.3,31772.88
133,26,151,2024-03-06,322,208.38,67098.19
134,61,626,2024-10-14,30,49.22,1476.68
135,114,645,2024-07-16,79,414.23,32724.27
136,90,394,2025-11-05,594,181.44,107773.12
137,19,672,2024-05-07,511,364.49,186254.57
138,111,789,2025-05-25,10,804.25,8042.53
139,29,181,2025-12-31,114,702.35,80068.01
140,72,256,2024-02-23,535,422.38,225972.5
141,103,476,2024-06-20,129,415.16,53556.15
142,77,325,2024-03-19,548,889.2,487281.64
143,93,517,2025-08-04,458,554.49,253954.53
144,71,457,2025-05-29,441,748.87,330250.66
145,61,461,2025-12-18,167,671.34,112113.89
146,108,653,2024-09-22,270,678.58,183217.92
147,67,497,2024-10-05,288,691.11,199038.47
148,10,731,2025-10-05,249,252.94,62982.29
149,43,328,2025-07-26,297,217.17,64498.98
150,20,237,2024-04-24,558,79.88,44570.4
151,91,220,2025-06-14,397,627.0,248920.28
152,43,556,2025-06-13,70,378.06,26464.35
153,27,431,2025-03-01,482,378.87,182615.64
154,75,713,2024-11-11,403,815.12,328491.72
155,98,590,2025-04-07,25,772.2,19305.12
156,46,306,2024-05-22,394,433.47,170785.57
157,107,430,2024-05-07,404,769.28,310787.33
158,70,618,2025-02-16,556,674.78,375179.89
159,35,447,2024-07-17,230,443.5,102005.16
160,44,685,2024-05-27,502,33.89,17012.85
161,108,479,2024-02-09,419,653.97,274013.34
162,69,28,2024-03-21,135,882.8,119178.54
163,85,28,2024-06-10,408,535.97,218675.09
164,18,473,2024-08-12,90,581.33,52319.94
165,49,336,2024-04-07,191,52.85,10095.09
166,44,780,2024-04-03,221,413.59,91403.79
167,107,432,2026-01-26,393,256.2,100688.53
168,61,20,2024-05-26,263,752.74,197970.76
169,45,230,2025-06-07,557,54.46,30334.42
170,84,42,2024-09-20,75,704.86,52864.49
171,26,21,2025-03-07,36,855.05,30781.93
172,61,686,2025-05-23,161,220.78,35545.92
173,28,477,2024-03-24,122,511.06,62349.43
174,22,621,2024-03-12,267,692.07,184783.52
175,21,319,2025-12-09,122,701.79,85618.42
176,119,320,2024-04-03,115,524.19,60281.48
177,49,407,2024-02-22,594,612.19,363643.11
178,89,643,2024-05-29,208,75.79,15764.08
179,99,309,2025-05-09,253,98.9,25020.68
180,73,43,2024-05-27,128,718.23,91934.04
181,85,380,2024-04-29,360,483.21,173955.15
182,44,13,2024-07-04,75,459.32,34448.78
183,14,444,2025-07-03,435,741.52,322560.84
184,107,471,2025-12-06,375,574.94,215603.22
185,94,535,2025-05-01,161,396.45,63829.18
186,118,552,2025-05-11,281,557.39,156627.66
187,106,749,2024-08-12,500,422.67,211333.7
188,32,89,2026-02-03,279,295.5,82443.3
189,32,769,2025-06-26,290,794.42,230380.35
190,86,389,2025-12-16,480,516.31,247826.82
191,109,333,2025-05-21,349,33.6,11726.54
192,46,265,2025-11-04,191,442.89,84592.86
193,77,719,2025-03-02,353,257.46,90881.75
194,67,196,2025-05-28,287,503.77,144580.73
195,53,501,2024-11-03,92,223.29,20542.64
196,89,488,2025-03-03,573,684.28,392094.09
197,3,96,2025-01-24,507,407.77,206740.25
198,89,250,2025-06-14,306,205.66,62933.18
199,48,485,2026-01-28,318,600.25,190880.24
200,55,764,2025-08-23,571,481.58,274983.53
201,90,465,2024-05-27,568,303.07,172141.4
202,30,124,2024-10-21,282,281.51,79385.17
203,96,549,2025-08-26,202,289.47,58472.69
204,95,496,2024-12-11,194,178.85,34697.78
205,98,538,2024-08-05,288,654.33,188446.99
206,107,199,2025-03-14,294,882.62,259488.95
207,23,310,2025-09-13,308,210.91,64961.81
208,17,281,2025-10-07,19,639.55,12151.5
209,71,300,2025-09-22,51,877.07,44730.63
210,97,503,2024-06-16,134,576.98,77315.28
211,74,292,2025-05-15,110,786.47,86511.26
212,44,189,2025-06-22,485,435.01,210981.34
213,111,490,2024-05-25,57,233.21,13293.01
214,52,504,2025-05-12,121,741.33,89700.59
215,88,55,2025-10-21,80,522.7,41816.23
216,73,312,2025-09-16,160,141.08,22573.48
217,16,572,2025-11-22,92,894.57,82300.9
218,102,634,2025-04-29,431,548.84,236548.03
219,49,462,2025-07-25,236,699.92,165180.8
220,76,440,2025-04-24,458,273.24,125143.46
221,8,625,2025-06-04,317,515.22,163323.94
222,27,641,2026-01-05,106,853.25,90444.55
223,11,161,2025-09-07,221,244.06,53938.22
224,10,161,2024-06-15,250,163.04,40760.42
225,89,609,2025-04-10,7,372.4,2606.78
226,30,296,2025-01-22,486,267.8,130152.4
227,59,73,2025-05-05,294,635.06,186709.08
228,101,641,2024-10-17,244,832.13,203039.39
229,70,231,2024-02-10,207,387.22,80155.36
230,106,146,2025-01-28,157,818.3,128473.57
231,102,315,2025-07-12,78,61.2,4773.38
232,57,128,2024-08-27,587,829.7,487036.09
233,90,413,2025-10-24,484,622.3,301193.57
234,64,449,2024-03-13,283,454.42,128601.19
235,114,443,2024-10-17,87,541.45,47106.04
236,4,94,2025-11-13,335,546.51,183081.71
237,108,590,2024-04-19,239,866.02,206979.9
238,87,276,2024-11-18,26,899.62,23390.08
239,97,180,2024-09-06,595,43.89,26112.56
240,57,285,2025-01-28,486,470.92,228865.05
241,56,651,2026-01-01,190,897.28,170482.32
242,61,357,2025-03-27,508,872.4,443177.81
243,86,108,2024-12-28,423,305.31,129146.59
244,89,508,2025-06-04,169,302.18,51069.24
245,52,779,2025-01-09,300,599.02,179707.35
246,12,323,2024-07-26,568,40.73,23136.82
247,99,414,2024-03-12,263,296.36,77942.74
248,1,674,2025-05-30,531,743.84,394976.42
249,7,193,2025-09-17,560,420.08,235246.42
250,97,511,2025-04-23,535,330.71,176928.35
251,27,274,2024-03-27,457,685.91,313461.58
252,37,449,2025-03-09,567,124.86,70797.77
253,81,624,2025-03-12,501,116.31,58272.35
254,40,565,2026-01-17,250,641.13,160281.57
255,12,231,2024-08-24,19,500.61,9511.56
256,16,664,2025-09-02,121,419.61,50772.99
257,92,299,2025-09-08,162,452.55,73313.25
258,54,495,2024-09-26,526,637.23,335181.49
259,71,149,2024-11-15,488,225.41,109999.09
260,77,521,2024-04-17,397,178.02,70675.71
261,36,792,2024-03-23,144,778.71,112134.53
262,101,520,2025-04-08,429,311.17,133491.38
263,37,744,2025-03-30,278,739.93,205700.58
264,75,676,2025-04-02,310,755.03,234058.84
265,58,552,2025-12-05,506,779.81,394585.1
266,71,782,2024-07-03,500,315.85,157925.28
267,120,330,2024-08-03,561,344.47,193248.44
268,31,586,2025-09-17,198,882.85,174804.49
269,100,421,2025-02-06,397,216.34,85886.07
270,61,723,2024-08-19,49,291.81,14298.85
271,85,668,2024-08-27,395,352.38,139190.99
272,5,130,2024-06-04,160,449.83,71973.3
273,43,103,2025-03-21,519,869.1,451060.51
274,117,468,2024-05-07,455,96.94,44108.99
275,53,671,2025-02-20,20,652.42,13048.4
276,101,272,2024-04-15,163,74.75,12183.73
277,51,666,2024-08-09,351,563.95,197945.53
278,110,691,2025-11-15,87,767.77,66796.39
279,41,642,2025-09-14,551,346.97,191179.58
280,5,633,2025-04-13,504,786.17,396227.49
281,88,295,2025-03-29,75,217.42,16306.13
282,56,101,2025-03-18,237,674.12,159765.4
283,89,307,2025-06-02,107,403.76,43202.46
284,102,58,2024-11-18,34,49.02,1666.81
285,56,150,2025-01-19,305,327.75,99963.54
286,73,699,2025-07-15,255,481.8,122859.09
287,11,625,2025-05-02,189,159.63,30169.2
288,31,510,2025-06-29,396,560.78,222069.53
289,82,261,2024-10-13,151,215.11,32481.93
290,2,477,2025-02-09,475,235.75,111981.93
291,21,76,2025-03-15,299,612.43,183116.24
292,76,307,2025-07-25,457,851.15,388975.64
293,59,310,2025-06-14,439,623.76,273830.49
294,110,495,2025-11-30,208,899.44,187083.77
295,74,368,2024-09-11,114,219.59,25032.97
296,90,303,2025-08-31,593,271.92,161247.48
297,85,406,2024-11-25,27,880.33,23768.81
298,111,703,2024-08-19,286,15.22,4353.89
299,96,509,2024-04-09,55,820.27,45114.87
300,30,622,2024-11-10,298,699.96,208588.36
301,25,636,2025-10-05,365,203.35,74223.5
302,93,786,2024-06-21,261,612.57,159879.7
303,116,643,2025-03-05,145,568.4,82417.61
304,57,35,2025-10-02,45,283.57,12760.57
305,17,93,2024-12-08,598,333.46,199406.82
306,54,180,2025-07-31,307,299.43,91926.07
307,70,375,2024-02-14,210,125.89,26436.17
308,35,169,2025-06-07,548,455.6,249669.31
309,62,303,2024-11-29,268,823.33,220652.89
310,60,78,2025-09-01,351,725.38,254606.77
311,29,693,2024-08-26,149,680.7,101424.77
312,103,571,2025-07-18,411,870.8,357900.7
313,51,15,2025-08-11,379,88.55,33560.51
314,59,378,2024-08-23,275,486.62,133821.19
315,106,654,2024-09-10,273,529.43,144533.74
316,30,483,2024-05-05,385,104.64,40288.22
317,72,336,2025-05-04,30,560.64,16819.07
318,82,476,2024-11-29,231,585.71,135298.07
319,15,144,2024-09-12,314,587.12,184356.18
320,39,505,2025-02-15,51,852.07,43455.33
321,114,551,2025-06-07,123,94.7,11647.52
322,48,687,2024-07-30,143,354.67,50718.11
323,96,745,2025-01-24,558,381.86,213078.47
324,84,102,2025-08-13,163,797.79,130039.62
325,36,34,2024-08-29,506,557.16,281923.86
326,57,242,2024-05-30,384,201.8,77492.95
327,88,377,2025-01-05,376,96.62,36330.75
328,83,368,2024-07-17,562,812.31,456519.92
329,25,126,2025-01-19,67,363.14,24330.42
330,28,658,2024-12-28,470,89.77,42193.17
331,43,250,2026-01-09,26,53.12,1381.02
332,27,71,2025-09-18,133,709.98,94427.93
333,28,239,2024-08-28,572,192.78,110272.66
334,101,611,2024-08-21,341,698.74,238269.24
335,19,134,2026-01-03,7,255.33,1787.3
336,23,113,2024-04-28,558,231.58,129223.62
337,46,244,2025-04-27,31,125.57,3892.62
338,34,54,2025-03-04,336,22.08,7417.78
339,68,117,2025-08-31,134,669.61,89728.08
340,100,371,2025-04-10,70,432.81,30296.8
341,58,516,2025-09-25,530,537.55,284901.55
342,6,745,2024-07-03,231,851.31,196652.78
343,83,32,2024-04-26,538,277.05,149055.19
344,109,412,2025-06-14,67,898.74,60215.54
345,63,730,2024-12-14,441,620.0,273419.54
346,11,330,2024-10-26,459,73.55,33761.16
347,36,640,2025-08-13,156,66.59,10387.81
348,49,612,2024-08-08,566,643.24,364074.01
349,65,620,2025-07-01,548,271.05,148534.74
350,90,118,2025-01-19,445,96.47,42927.9
351,28,441,2025-03-13,569,650.99,370412.86
352,53,348,2025-07-24,467,800.18,373682.75
353,94,98,2024-05-21,469,363.67,170559.98
354,86,262,2024-10-08,325,388.67,126318.89
355,88,486,2025-02-26,388,858.6,333138.56
356,11,96,2024-03-08,73,89.37,6524.19
357,95,382,2025-03-09,447,94.14,42078.56
358,76,576,2024-09-12,138,504.28,69591.01
359,16,421,2025-03-29,580,302.04,175185.64
360,97,434,2026-01-05,367,787.26,288923.6
361,77,320,2025-09-25,57,871.81,49693.26
362,65,218,2024-10-15,365,100.41,36650.27
363,29,111,2025-06-01,163,593.81,96790.83
364,48,118,2024-11-12,363,762.07,276632.53
365,104,440,2024-03-01,290,520.1,150828.19
366,105,637,2025-12-06,579,877.3,507954.13
367,119,674,2024-02-17,575,31.42,18065.59
368,35,720,2024-06-10,278,33.83,9403.69
369,45,7,2024-08-16,321,830.01,266433.68
370,73,674,2024-05-18,190,783.92,148944.33
371,95,649,2025-03-16,415,70.07,29079.13
372,68,221,2024-05-19,36,89.85,3234.52
373,44,162,2024-08-03,390,382.49,149171.33
374,42,796,2025-11-10,383,285.98,109530.54
375,114,54,2024-11-29,586,539.83,316341.32
376,80,51,2025-02-26,164,148.41,24339.18
377,85,435,2026-01-10,88,250.72,22062.98
378,54,280,2025-01-30,502,549.51,275854.92
379,15,354,2025-08-16,225,681.41,153317.09
380,87,695,2024-06-20,445,106.91,47576.59
381,40,47,2025-07-07,503,478.03,240446.69
382,77,57,2024-04-05,230,360.57,82932.24
383,28,786,2025-08-09,12,190.35,2284.15
384,38,336,2025-10-27,145,689.63,99996.57
385,96,441,2024-02-20,127,14.9,1891.67
386,69,721,2024-09-23,184,123.23,22674.99
387,107,685,2025-07-28,240,454.23,109016.16
388,111,760,2024-03-13,367,72.29,26530.92
389,59,80,2025-06-30,48,397.11,19061.18
390,74,415,2025-07-11,325,521.58,169512.58
391,52,22,2026-01-09,432,266.25,115018.95
392,80,472,2024-08-01,337,161.31,54361.77
393,109,109,2025-09-28,375,86.61,32479.45
394,52,537,2026-02-02,254,396.62,100742.36
395,40,764,2024-08-12,85,361.02,30687.03
396,100,173,2024-11-21,352,205.64,72386.08
397,15,544,2024-05-09,83,463.35,38458.14
398,100,358,2024-07-14,527,180.96,95367.03
399,105,661,2025-09-05,364,656.82,239083.27
400,19,263,2024-12-27,156,218.75,34125.28
401,20,779,2024-05-25,207,162.76,33691.55
402,99,644,2025-09-18,82,166.01,13613.18
403,73,779,2024-08-15,510,421.85,215141.53
404,119,579,2026-01-15,598,408.42,244237.25
405,81,324,2025-10-29,335,778.91,260934.25
406,61,453,2025-06-17,159,400.27,63642.68
407,76,58,2025-10-19,315,718.33,226272.71
408,40,473,2025-10-23,365,460.54,168098.74
409,48,294,2024-06-01,467,41.55,19401.82
410,110,93,2024-11-27,83,583.04,48392.53
411,75,568,2025-08-15,524,350.96,183902.19
412,104,586,2025-06-17,47,409.16,19230.64
413,61,514,2025-03-17,197,294.8,58075.97
414,58,106,2024-05-31,159,862.29,137103.85
415,11,517,2025-08-05,356,884.29,314806.51
416,91,449,2025-05-30,181,42.91,7767.57
417,79,163,2024-05-16,454,475.47,215862.99
418,37,397,2024-08-05,377,340.58,128400.16
419,87,613,2025-04-21,423,698.82,295601.96
420,83,343,2025-12-16,58,711.99,41295.44
421,72,695,2024-08-07,72,302.08,21750.06
422,93,673,2025-10-03,400,261.46,104583.64
423,75,680,2024-03-16,158,305.36,48246.71
424,40,672,2025-02-10,149,825.74,123034.94
425,91,87,2025-03-04,406,123.02,49948.1
426,83,337,2025-05-07,322,506.56,163111.83
427,107,757,2025-08-18,135,605.74,81775.42
428,86,434,2025-05-28,544,91.36,49699.86
429,47,317,2024-06-07,525,330.75,173644.1
430,44,785,2024-11-09,189,856.44,161867.73
431,18,159,2025-04-03,502,179.27,89992.87
432,101,104,2024-09-28,84,271.85,22835.11
433,107,757,2024-12-08,524,695.62,364505.01
434,44,785,2025-10-20,544,41.67,22668.9
435,20,167,2024-04-22,139,540.74,75163.39
436,99,640,2025-01-22,190,749.56,142416.36
437,6,421,2024-07-12,174,651.3,113325.37
438,31,455,2025-05-30,378,611.32,231077.34
439,101,460,2025-12-20,296,679.13,201023.34
440,40,481,2025-12-08,244,484.34,118178.46
441,74,452,2026-01-20,203,336.11,68231.17
442,100,392,2024-10-22,477,694.34,331199.79
443,21,205,2024-04-27,519,478.49,248338.45
444,7,657,2025-11-03,146,786.72,114860.79
445,71,106,2025-09-08,497,787.71,391493.02
446,37,86,2025-05-08,533,767.24,408938.98
447,116,526,2025-05-08,169,251.33,42474.74
448,12,228,2024-02-27,155,749.29,116140.52
449,120,28,2025-02-08,466,797.09,371443.83
450,65,383,2026-01-07,429,55.51,23811.71
451,11,384,2024-09-11,246,352.46,86705.2
452,120,102,2025-01-15,234,33.14,7755.53
453,18,40,2026-01-24,348,713.91,248441.21
454,61,713,2025-05-09,298,826.32,246242.58
455,61,460,2024-03-28,147,684.89,100678.29
456,3,263,2025-12-15,10,816.02,8160.25
457,71,745,2025-09-17,225,752.79,169377.09
458,100,296,2025-11-11,545,385.54,210121.07
459,7,245,2025-05-05,248,276.63,68603.46
460,80,469,2026-01-29,434,577.94,250828.11
461,116,512,2025-02-12,69,106.89,7375.08
462,66,589,2024-05-09,553,22.66,12531.16
463,38,440,2024-09-17,252,648.94,163533.27
464,31,585,2024-04-26,6,556.41,3338.46
465,86,88,2025-10-04,431,175.08,75461.21
466,9,539,2025-01-13,541,877.39,474668.97
467,65,568,2025-01-20,562,460.54,258821.4
468,61,45,2024-12-09,25,356.28,8907.12
469,33,766,2025-06-15,401,883.09,354117.95
470,9,354,2025-01-18,21,326.53,6857.08
471,81,107,2025-07-23,251,661.78,166107.63
472,43,137,2025-05-12,600,663.79,398272.07
473,44,659,2025-11-09,50,322.25,16112.54
474,88,476,2025-05-03,184,748.7,137761.21
475,104,139,2024-06-07,495,571.51,282896.65
476,59,38,2024-04-23,69,646.71,44623.14
477,102,205,2024-11-03,305,187.82,57284.85
478,40,528,2025-02-02,47,289.51,13607.04
479,70,485,2024-11-02,412,890.3,366802.55
480,83,196,2025-02-23,264,40.67,10735.75
481,100,49,2024-07-14,297,326.42,96947.03
482,103,377,2026-01-05,344,251.71,86587.97
483,96,451,2024-11-12,452,801.42,362242.73
484,24,509,2024-05-14,400,310.42,124168.27
485,103,532,2025-02-26,514,335.67,172536.16
486,94,435,2025-02-02,278,722.62,200889.5
487,106,185,2024-07-25,85,392.1,33328.63
488,14,82,2025-03-16,563,270.04,152032.32
489,40,457,2025-11-29,340,597.54,203163.58
490,57,360,2024-12-29,441,156.65,69081.39
491,112,362,2025-10-22,462,45.78,21150.73
492,102,59,2025-01-02,450,252.9,113806.52
493,52,373,2024-06-01,81,606.7,49142.38
494,87,164,2024-07-07,530,722.58,382966.13
495,78,695,2025-02-19,36,135.36,4872.93
496,9,242,2024-08-29,453,39.04,17685.43
497,73,34,2025-04-16,380,331.04,125794.56
498,48,381,2025-03-20,162,613.72,99423.18
499,74,141,2024-05-18,459,688.67,316100.15
500,41,666,2024-02-29,547,335.32,183419.69
501,15,27,2024-12-15,290,230.65,66889.54
502,50,576,2024-03-02,195,453.15,88363.71
503,34,721,2025-06-20,125,241.5,30188.1
504,79,293,2025-12-30,461,199.4,91921.93
505,18,76,2024-12-18,507,186.56,94585.45
506,92,456,2024-03-27,467,162.01,75658.43
507,109,328,2024-11-15,94,730.98,68711.91
508,71,556,2024-10-19,360,640.91,230727.64
509,109,162,2024-10-29,302,803.07,242526.49
510,66,230,2025-04-20,183,715.98,131023.82
511,102,143,2024-04-07,129,886.74,114389.23
512,4,370,2025-08-12,247,713.01,176114.15
513,60,565,2025-02-05,572,518.47,296565.67
514,12,68,2026-01-15,137,553.86,75878.54
515,92,737,2025-07-28,321,363.16,116573.94
516,99,420,2024-03-10,495,476.92,236075.66
517,41,658,2026-01-29,593,73.79,43754.88
518,88,530,2025-07-15,80,409.38,32750.18
519,107,799,2024-06-09,357,122.47,43723.39
520,24,787,2024-09-17,569,578.7,329278.13
521,117,57,2024-09-09,137,393.9,53963.69
522,39,169,2024-10-12,132,470.15,62059.42
523,91,231,2025-08-30,170,295.81,50288.28
524,67,291,2024-06-22,359,853.15,306282.63
525,82,565,2024-08-18,85,231.54,19680.89
526,39,630,2024-04-21,286,119.65,34220.44
527,83,173,2025-01-13,551,91.34,50327.31
528,85,640,2024-04-26,599,145.54,87179.23
529,73,43,2024-05-09,350,759.54,265837.87
530,83,790,2024-10-28,34,80.45,2735.33
531,27,786,2025-12-18,595,244.07,145223.48
532,82,32,2024-11-23,590,379.6,223961.29
533,70,297,2024-02-05,514,800.99,411706.4
534,104,702,2024-05-18,314,438.79,137779.05
535,10,706,2025-11-30,420,273.31,114790.63
536,54,496,2026-01-31,66,149.01,9834.51
537,78,148,2025-08-08,480,189.99,91194.49
538,41,752,2024-07-07,325,776.44,252344.52
539,17,779,2025-10-25,358,878.03,314336.07
540,14,327,2025-09-29,384,467.36,179467.12
541,35,461,2026-01-16,252,424.09,106871.57
542,7,298,2024-11-25,258,133.66,34485.02
543,54,255,2025-08-03,398,778.83,309975.99
544,120,592,2024-07-01,168,733.62,123248.54
545,21,511,2025-10-19,325,177.33,57632.91
546,113,316,2025-10-11,532,424.4,225780.31
547,51,518,2025-06-10,514,28.67,14738.05
548,28,598,2024-09-11,473,870.28,411644.56
549,37,507,2024-03-17,366,51.4,18813.52
550,2,111,2024-03-14,486,262.89,127763.35
551,34,745,2024-06-11,446,127.47,56851.61
552,47,47,2025-09-22,379,689.36,261267.53
553,72,200,2024-07-09,415,53.63,22257.55
554,10,396,2025-06-05,376,501.47,188554.54
555,71,287,2025-03-02,521,409.72,213462.09
556,13,404,2025-08-23,126,122.77,15468.74
557,44,572,2025-10-08,387,717.05,277497.7
558,26,617,2024-09-23,379,681.43,258261.57
559,6,47,2024-05-24,526,366.04,192535.61
560,43,486,2024-09-23,44,130.24,5730.4
561,78,528,2024-07-30,536,415.63,222779.71
562,79,327,2025-03-07,148,300.55,44480.74
563,79,758,2025-04-15,171,358.52,61306.15
564,65,522,2025-12-15,311,537.6,167194.34
565,73,307,2025-07-24,550,444.94,244718.77
566,48,340,2024-05-11,491,735.65,361203.15
567,75,316,2024-07-31,117,882.07,103202.08
568,34,672,2025-10-30,32,540.44,17294.19
569,93,53,2025-03-21,597,523.25,312380.18
570,81,739,2025-10-08,496,160.1,79407.99
571,88,249,2026-01-17,394,139.82,55087.48
572,90,113,2025-12-11,37,518.73,19193.11
573,41,429,2025-06-22,200,24.89,4978.43
574,27,421,2026-02-03,160,376.36,60217.67
575,118,483,2024-04-05,518,699.28,362224.6
576,67,213,2025-07-27,68,637.55,43353.5
577,85,490,2025-04-29,579,297.94,172509.68
578,23,471,2024-02-16,543,344.13,186861.34
579,46,693,2024-11-17,550,313.36,172345.63
580,25,253,2024-11-14,275,552.19,151851.79
