id_entrega,id_pedido,data_envio,data_prevista,data_entregue,transportadora,custo_frete_real,tentativas
28,PED-44741,2024-03-08,2024-03-18,2024-03-16,Total Express,135.3,2
29,PED-98039,2025-06-08,2025-06-14,2025-06-16,Jadlog,65.83,4
30,PED-39451,2024-02-18,2024-02-21,2024-02-20,Correios,52.63,2
31,PED-10942,2024-04-18,2024-04-29,2024-04-28,Correios,101.44,1
32,PED-14117,2025-05-05,2025-05-10,2025-05-07,Jadlog,17.35,2
33,PED-73624,2025-09-29,2025-10-05,2025-10-11,correios,79.18,4
34,PED-63354,2025-03-09,2025-03-14,2025-03-17,correios,20.45,4
35,PED-63883,2025-08-15,2025-08-22,2025-08-24,Total Express,122.03,1
36,PED-94696,2024-08-25,2024-09-06,2024-09-12,Correios,16.0,3
37,PED-35112,2025-11-12,2025-11-15,2025-11-14,correios,78.79,2
38,PED-46509,2024-05-18,2024-05-26,2024-05-24,Total Express,40.97,1
39,PED-22833,2024-03-09,2024-03-18,2024-03-22,Correios,94.08,1
40,PED-31798,2024-11-07,2024-11-10,2024-11-09,Total Express,72.1,2
41,PED-31579,2024-12-10,2024-12-18,2024-12-14,Total Express,8.28,4
42,PED-47388,2025-06-27,2025-07-03,2025-07-06,Total Express,99.95,4
43,PED-48890,2025-09-24,2025-09-28,2025-09-27,correios,135.87,1
44,PED-16572,2025-12-12,2025-12-19,2025-12-15,Total Express,74.38,2
45,PED-20500,2025-01-11,2025-01-13,2025-01-17,correios,17.04,1
46,PED-62923,2024-09-24,2024-10-06,2024-10-05,Correios,132.29,2
47,PED-15209,2025-01-18,2025-01-29,2025-02-03,Correios,63.34,3
48,PED-97782,2025-09-02,2025-09-08,2025-09-07,Jadlog,39.51,4
49,PED-94607,2024-12-04,2024-12-08,2024-12-14,Jadlog,68.35,1
50,PED-91416,2024-08-03,2024-08-05,2024-08-08,Correios,17.67,2
51,PED-27361,2025-05-14,2025-05-24,2025-05-24,Jadlog,124.27,2
52,PED-30676,2025-09-30,2025-10-07,2025-10-07,Total Express,118.05,3
53,PED-79329,2024-05-25,2024-06-05,2024-06-11,Correios,96.16,3
54,PED-27601,2024-12-14,2024-12-26,2024-12-23,Jadlog,23.24,1
55,PED-45697,2025-07-03,2025-07-13,2025-07-11,Jadlog,87.84,3
56,PED-93130,2024-07-16,2024-07-21,2024-07-27,Jadlog,74.71,3
57,PED-93136,2024-07-12,2024-07-14,2024-07-11,Total Express,117.47,1
58,PED-27146,2024-09-20,2024-09-22,2024-09-23,Jadlog,29.33,4
59,PED-83519,2024-08-19,2024-08-29,2024-08-31,Correios,22.77,2
60,PED-58393,2024-12-14,2024-12-24,2024-12-20,correios,64.73,1
61,PED-15229,2024-12-24,2024-12-30,2024-12-31,Jadlog,35.73,2
62,PED-56357,2026-01-14,2026-01-26,2026-01-23,Total Express,136.55,2
63,PED-33206,2025-04-29,2025-05-04,2025-05-02,Total Express,11.27,3
64,PED-42527,2024-04-04,2024-04-12,2024-04-18,Jadlog,29.01,1
65,PED-71694,2025-09-20,2025-09-28,2025-09-24,correios,34.34,4
66,PED-39831,2024-07-11,2024-07-18,2024-07-18,correios,11.12,2
67,PED-46517,2024-09-10,2024-09-18,2024-09-19,Correios,135.63,3
68,PED-76768,2025-07-25,2025-08-01,2025-08-07,Total Express,97.7,3
69,PED-44237,2025-08-04,2025-08-06,2025-08-03,correios,84.64,3
70,PED-88193,2025-09-19,2025-09-21,2025-09-18,Total Express,53.63,3
71,PED-77033,2024-06-01,2024-06-09,2024-06-14,Correios,58.85,2
72,PED-67154,2024-12-12,2024-12-18,2024-12-14,Correios,76.63,2
73,PED-19171,2024-02-18,2024-02-25,2024-02-27,Jadlog,90.26,1
74,PED-50538,2025-10-15,2025-10-21,2025-10-25,Total Express,51.06,3
75,PED-35144,2025-04-30,2025-05-10,2025-05-08,Total Express,95.77,4
76,PED-90676,2024-03-30,2024-04-11,2024-04-09,Jadlog,61.6,1
77,PED-37549,2024-12-09,2024-12-15,2024-12-15,Total Express,111.72,3
78,PED-67954,2025-05-13,2025-05-22,2025-05-25,correios,75.47,2
79,PED-47196,2025-11-12,2025-11-24,2025-11-21,Jadlog,20.33,2
80,PED-39444,2024-11-15,2024-11-27,2024-11-27,correios,27.45,1
81,PED-90120,2024-05-19,2024-05-24,2024-05-27,Correios,68.11,2
82,PED-62383,2024-04-22,2024-04-30,2024-05-03,correios,27.48,1
83,PED-38683,2025-07-18,2025-07-21,2025-07-23,correios,114.14,4
84,PED-42662,2025-05-21,2025-05-23,2025-05-27,Correios,68.25,4
85,PED-83259,2025-02-01,2025-02-13,2025-02-17,Jadlog,133.41,4
86,PED-65933,2024-08-15,2024-08-26,2024-08-30,Total Express,126.43,4
87,PED-42406,2025-04-21,2025-04-30,2025-04-30,Jadlog,109.09,4
88,PED-45992,2024-03-06,2024-03-18,2024-03-17,Total Express,18.23,3
89,PED-54020,2025-07-01,2025-07-06,2025-07-06,Jadlog,125.88,1
90,PED-40311,2024-11-02,2024-11-06,2024-11-04,Total Express,99.6,2
91,PED-63424,2025-11-05,2025-11-08,2025-11-10,Jadlog,79.62,4
92,PED-65069,2024-11-06,2024-11-08,2024-11-07,Total Express,127.44,1
93,PED-72518,2024-09-29,2024-10-10,2024-10-12,Correios,132.44,3
94,PED-80545,2025-12-18,2025-12-26,2025-12-28,correios,72.45,3
95,PED-13804,2024-09-27,2024-10-05,2024-10-08,Total Express,52.37,4
96,PED-26728,2025-01-10,2025-01-14,2025-01-17,Correios,127.71,1
97,PED-66179,2025-04-17,2025-04-20,2025-04-26,correios,122.42,2
98,PED-59689,2025-09-11,2025-09-13,2025-09-13,Jadlog,35.94,3
99,PED-46471,2024-09-04,2024-09-11,2024-09-13,Total Express,41.3,1
100,PED-80702,2024-06-05,2024-06-14,2024-06-10,Correios,139.99,3
101,PED-18993,2024-09-01,2024-09-06,2024-09-12,Correios,107.56,2
102,PED-91439,2024-04-10,2024-04-15,2024-04-11,correios,39.49,4
103,PED-83920,2024-09-18,2024-09-30,2024-09-27,correios,69.38,3
104,PED-89415,2025-07-18,2025-07-25,2025-07-23,Correios,110.67,2
105,PED-85849,2025-06-06,2025-06-12,2025-06-09,Correios,130.61,4
106,PED-19961,2025-11-23,2025-12-01,2025-11-30,correios,21.45,3
107,PED-25866,2024-04-04,2024-04-16,2024-04-21,Correios,53.83,4
108,PED-19038,2024-05-06,2024-05-18,2024-05-19,Jadlog,9.67,4
109,PED-66822,2025-08-13,2025-08-22,2025-08-19,Jadlog,91.9,4
110,PED-33086,2024-07-17,2024-07-21,2024-07-23,Jadlog,89.3,4
111,PED-87656,2025-07-27,2025-08-05,2025-08-07,Jadlog,50.54,2
112,PED-69087,2025-06-09,2025-06-12,2025-06-12,correios,107.06,4
113,PED-74789,2024-06-28,2024-07-05,2024-07-01,Jadlog,32.0,2
114,PED-54608,2024-02-19,2024-02-26,2024-02-26,Jadlog,124.2,3
115,PED-77715,2024-03-25,2024-04-04,2024-03-31,correios,19.3,4
116,PED-41499,2025-06-16,2025-06-25,2025-06-29,Total Express,93.26,4
117,PED-22196,2025-02-18,2025-02-27,2025-02-23,Jadlog,37.25,2
118,PED-86225,2025-09-21,2025-09-27,2025-10-03,Jadlog,70.47,3
119,PED-53357,2024-11-07,2024-11-15,2024-11-19,Jadlog,100.78,3
120,PED-40217,2025-11-24,2025-11-30,2025-11-30,Correios,103.21,3
121,PED-34267,2024-07-11,2024-07-14,2024-07-18,correios,36.56,4
122,PED-78765,2024-08-08,2024-08-14,2024-08-19,Jadlog,137.43,2
123,PED-57301,2025-01-06,2025-01-12,2025-01-11,correios,47.9,2
124,PED-17146,2025-09-18,2025-09-24,2025-09-20,Jadlog,100.06,2
125,PED-23446,2025-04-01,2025-04-13,2025-04-16,Correios,83.78,4
126,PED-54657,2024-05-12,2024-05-21,2024-05-24,correios,135.45,3
127,PED-18564,2025-05-16,2025-05-25,2025-05-22,Total Express,72.91,1
128,PED-83772,2025-08-04,2025-08-08,2025-08-06,Jadlog,19.24,2
129,PED-64548,2024-07-01,2024-07-04,2024-07-08,correios,110.39,4
130,PED-48974,2024-08-29,2024-09-07,2024-09-10,Total Express,48.31,1
131,PED-37235,2026-01-15,2026-01-26,2026-01-23,correios,42.93,1
132,PED-32782,2024-12-07,2024-12-11,2024-12-10,Correios,28.66,4
133,PED-71592,2024-12-31,2025-01-09,2025-01-14,Jadlog,12.31,3
134,PED-19329,2024-03-14,2024-03-20,2024-03-23,correios,129.96,2
135,PED-81376,2025-04-14,2025-04-22,2025-04-19,correios,93.49,3
136,PED-17816,2024-12-21,2024-12-25,2024-12-22,correios,112.63,3
137,PED-71433,2025-11-30,2025-12-09,2025-12-06,Jadlog,100.36,3
138,PED-74722,2024-08-15,2024-08-25,2024-08-29,Total Express,18.62,1
139,PED-89129,2025-12-10,2025-12-18,2025-12-19,Jadlog,11.41,2
140,PED-86955,2025-04-20,2025-05-02,2025-05-07,Correios,139.94,3
141,PED-32962,2025-12-11,2025-12-22,2025-12-18,Total Express,76.5,4
142,PED-86720,2024-08-28,2024-09-03,2024-09-01,Total Express,91.79,4
143,PED-55607,2024-04-12,2024-04-15,2024-04-18,Total Express,52.0,1
144,PED-63955,2024-11-13,2024-11-17,2024-11-18,Total Express,46.04,4
145,PED-69614,2025-08-04,2025-08-14,2025-08-10,Correios,49.52,3
146,PED-77449,2024-06-26,2024-06-29,2024-07-01,Correios,94.81,4
147,PED-34586,2024-12-11,2024-12-19,2024-12-15,Jadlog,90.19,4
148,PED-16764,2025-07-14,2025-07-26,2025-07-29,correios,43.25,2
149,PED-73532,2024-10-16,2024-10-22,2024-10-25,Correios,11.81,2
150,PED-82199,2024-09-15,2024-09-19,2024-09-19,Correios,80.9,1
151,PED-70482,2024-05-06,2024-05-11,2024-05-08,Correios,93.5,2
152,PED-76698,2025-10-29,2025-11-07,2025-11-07,Jadlog,62.84,4
153,PED-69871,2025-05-08,2025-05-17,2025-05-16,correios,58.63,2
154,PED-64387,2025-10-26,2025-10-29,2025-10-29,Jadlog,131.32,3
155,PED-49132,2025-05-10,2025-05-12,2025-05-12,Total Express,122.21,4
156,PED-55236,2025-07-26,2025-08-05,2025-08-08,Jadlog,80.85,4
157,PED-34727,2025-04-18,2025-04-27,2025-04-28,correios,83.48,2
158,PED-51704,2024-02-16,2024-02-24,2024-02-20,Total Express,101.09,4
159,PED-95461,2024-05-19,2024-05-27,2024-06-02,correios,73.38,1
160,PED-87356,2024-04-20,2024-04-24,2024-04-28,Jadlog,122.8,4
161,PED-69890,2025-12-14,2025-12-17,2025-12-21,Correios,103.36,4
162,PED-19807,2025-05-06,2025-05-18,2025-05-16,Total Express,111.16,3
163,PED-62098,2025-11-30,2025-12-07,2025-12-12,Correios,120.43,4
164,PED-73956,2024-09-29,2024-10-06,2024-10-12,Correios,89.5,2
165,PED-47667,2024-02-15,2024-02-27,2024-03-04,correios,106.57,4
166,PED-23173,2025-09-26,2025-09-29,2025-10-05,Total Express,29.96,3
167,PED-52516,2025-04-11,2025-04-13,2025-04-09,Correios,46.72,3
168,PED-42007,2024-11-13,2024-11-21,2024-11-19,Total Express,82.7,2
169,PED-20350,2026-02-01,2026-02-05,2026-02-03,Total Express,89.8,2
170,PED-28758,2025-05-09,2025-05-18,2025-05-23,correios,68.87,3
171,PED-97404,2025-07-06,2025-07-15,2025-07-15,Correios,126.66,4
172,PED-81643,2024-02-11,2024-02-17,2024-02-23,correios,17.75,3
173,PED-93746,2025-06-07,2025-06-18,2025-06-18,Total Express,99.12,4
174,PED-60422,2024-06-14,2024-06-20,2024-06-19,Total Express,22.08,4
175,PED-85341,2025-10-08,2025-10-19,2025-10-20,Jadlog,139.04,3
176,PED-61879,2024-02-28,2024-03-01,2024-03-07,Jadlog,9.07,1
177,PED-47512,2025-11-01,2025-11-12,2025-11-15,correios,88.13,3
178,PED-34920,2025-06-30,2025-07-05,2025-07-11,Jadlog,97.46,2
179,PED-92242,2024-02-15,2024-02-27,2024-02-24,Correios,48.78,4
180,PED-57823,2026-01-27,2026-01-29,2026-02-03,correios,19.9,3
181,PED-33021,2025-12-17,2025-12-24,2025-12-26,correios,25.45,3
182,PED-45720,2025-11-03,2025-11-13,2025-11-17,correios,41.92,4
183,PED-25095,2025-04-02,2025-04-08,2025-04-09,Total Express,135.1,2
184,PED-98395,2026-01-07,2026-01-12,2026-01-18,Total Express,135.68,3
185,PED-11824,2024-02-12,2024-02-15,2024-02-17,Jadlog,78.83,4
186,PED-98125,2025-01-31,2025-02-07,2025-02-13,Jadlog,85.16,3
187,PED-40647,2025-08-03,2025-08-06,2025-08-12,Total Express,11.3,3
188,PED-94889,2025-04-13,2025-04-24,2025-04-23,Correios,91.87,4
189,PED-63516,2024-04-08,2024-04-14,2024-04-20,Correios,26.45,1
190,PED-25220,2025-10-08,2025-10-14,2025-10-17,Correios,38.99,2
191,PED-58629,2024-07-04,2024-07-12,2024-07-15,Total Express,85.53,2
192,PED-22978,2025-09-24,2025-10-02,2025-10-08,Total Express,89.27,3
193,PED-38477,2025-11-29,2025-12-01,2025-12-02,Total Express,66.7,2
194,PED-99873,2025-12-26,2026-01-02,2025-12-30,Jadlog,79.87,3
195,PED-46160,2024-07-19,2024-07-21,2024-07-23,correios,135.8,4
196,PED-37801,2025-02-23,2025-02-26,2025-03-04,Correios,14.68,3
197,PED-84000,2025-11-08,2025-11-13,2025-11-11,correios,17.06,2
198,PED-40539,2024-08-26,2024-09-06,2024-09-05,Jadlog,110.22,1
199,PED-27038,2024-02-19,2024-02-25,2024-02-23,Jadlog,113.4,1
200,PED-27275,2025-01-13,2025-01-25,2025-01-21,Correios,55.29,2
201,PED-12068,2024-08-10,2024-08-21,2024-08-22,correios,43.03,2
202,PED-24896,2025-09-10,2025-09-18,2025-09-22,Correios,70.86,3
203,PED-24293,2024-05-25,2024-06-04,2024-06-09,Total Express,74.51,1
204,PED-49535,2024-10-03,2024-10-15,2024-10-19,Total Express,92.92,1
205,PED-62640,2024-11-28,2024-11-30,2024-12-03,Total Express,98.56,4
206,PED-20589,2025-02-12,2025-02-21,2025-02-18,Jadlog,88.3,1
207,PED-91830,2025-04-13,2025-04-17,2025-04-17,Jadlog,58.28,3
208,PED-89354,2024-09-22,2024-10-01,2024-10-05,Total Express,21.09,1
209,PED-82264,2025-06-06,2025-06-18,2025-06-24,correios,64.77,2
210,PED-69441,2025-10-12,2025-10-20,2025-10-21,Total Express,62.91,1
211,PED-50963,2024-04-07,2024-04-14,2024-04-16,Jadlog,57.41,2
212,PED-18799,2025-06-28,2025-07-10,2025-07-13,Correios,117.79,1
213,PED-58843,2025-01-28,2025-02-05,2025-02-02,correios,81.44,3
214,PED-63845,2026-01-09,2026-01-21,2026-01-18,Jadlog,123.32,4
215,PED-88696,2024-09-08,2024-09-10,2024-09-10,Jadlog,54.42,2
216,PED-73201,2025-08-23,2025-08-27,2025-09-02,correios,119.84,3
217,PED-25058,2024-09-20,2024-09-30,2024-10-01,Jadlog,83.78,4
218,PED-90422,2025-10-25,2025-11-04,2025-11-09,Correios,88.39,3
219,PED-45818,2025-11-09,2025-11-11,2025-11-09,Jadlog,129.64,3
220,PED-28776,2025-01-06,2025-01-08,2025-01-06,Total Express,17.19,1
221,PED-38197,2025-09-17,2025-09-20,2025-09-24,Total Express,63.42,3
222,PED-50846,2025-03-29,2025-04-02,2025-04-03,Jadlog,110.54,1
223,PED-30632,2024-06-01,2024-06-03,2024-06-01,Correios,96.96,3
224,PED-65576,2025-04-11,2025-04-20,2025-04-26,Total Express,88.13,4
225,PED-77154,2024-03-13,2024-03-19,2024-03-18,Correios,53.56,1
226,PED-98930,2025-09-29,2025-10-05,2025-10-11,Total Express,77.56,3
227,PED-61807,2026-01-04,2026-01-06,2026-01-05,Correios,9.01,3
228,PED-43491,2025-02-04,2025-02-09,2025-02-07,Jadlog,51.31,1
229,PED-33028,2025-05-16,2025-05-25,2025-05-27,correios,58.19,2
230,PED-97562,2024-05-02,2024-05-12,2024-05-16,Jadlog,17.51,1
231,PED-70260,2024-04-27,2024-05-05,2024-05-01,Correios,121.8,4
232,PED-93904,2024-09-09,2024-09-20,2024-09-22,Total Express,46.22,4
233,PED-32527,2025-02-20,2025-02-22,2025-02-23,Total Express,117.83,3
234,PED-23875,2025-08-25,2025-08-28,2025-08-30,correios,65.51,4
235,PED-61873,2024-11-25,2024-12-05,2024-12-02,Jadlog,106.45,2
236,PED-20011,2025-04-03,2025-04-10,2025-04-08,Correios,78.04,2
237,PED-94599,2024-04-16,2024-04-23,2024-04-24,correios,39.19,2
238,PED-32740,2024-07-19,2024-07-25,2024-07-24,correios,108.35,1
239,PED-74764,2025-02-08,2025-02-12,2025-02-18,Total Express,107.59,4
240,PED-94278,2024-10-24,2024-11-05,2024-11-10,Jadlog,122.08,3
241,PED-18950,2024-04-25,2024-04-29,2024-05-02,Total Express,66.37,3
242,PED-17362,2025-10-22,2025-10-28,2025-11-02,Jadlog,74.97,3
243,PED-14929,2025-05-27,2025-06-05,2025-06-08,Correios,56.67,3
244,PED-21835,2024-04-28,2024-05-01,2024-05-07,Total Express,69.08,1
245,PED-95437,2024-12-02,2024-12-11,2024-12-16,correios,50.44,4
246,PED-18109,2025-11-30,2025-12-10,2025-12-08,Total Express,21.66,3
247,PED-94689,2024-09-17,2024-09-20,2024-09-24,correios,13.17,4
248,PED-78517,2024-06-27,2024-07-06,2024-07-10,correios,56.03,3
249,PED-54350,2024-08-02,2024-08-10,2024-08-12,Correios,112.18,3
250,PED-22387,2025-11-18,2025-11-21,2025-11-22,Total Express,45.51,2
251,PED-86380,2024-08-01,2024-08-08,2024-08-05,correios,129.01,3
252,PED-61374,2024-08-14,2024-08-26,2024-09-01,correios,86.55,1
253,PED-59372,2025-05-09,2025-05-15,2025-05-19,Jadlog,115.34,1
254,PED-65496,2024-05-13,2024-05-25,2024-05-31,Jadlog,10.41,3
255,PED-54791,2025-03-30,2025-04-03,2025-04-02,Total Express,33.34,2
256,PED-48770,2024-04-12,2024-04-16,2024-04-13,Correios,75.02,1
257,PED-91006,2025-10-31,2025-11-12,2025-11-13,correios,86.84,2
258,PED-91885,2025-01-21,2025-01-25,2025-01-23,correios,103.2,1
259,PED-98652,2025-11-03,2025-11-11,2025-11-12,correios,135.99,3
260,PED-79993,2024-07-20,2024-07-29,2024-07-28,correios,48.85,4
261,PED-98907,2025-05-04,2025-05-09,2025-05-10,Total Express,68.94,3
262,PED-79135,2024-02-12,2024-02-20,2024-02-24,Total Express,135.55,2
263,PED-42768,2025-11-15,2025-11-26,2025-11-24,Correios,92.64,3
264,PED-77621,2025-01-26,2025-02-05,2025-02-02,Correios,45.63,2
265,PED-77286,2025-05-24,2025-05-30,2025-06-02,correios,117.7,1
266,PED-55820,2026-01-20,2026-01-25,2026-01-28,Correios,62.77,4
267,PED-40903,2025-02-19,2025-03-01,2025-03-02,Total Express,139.28,3
268,PED-51770,2025-09-19,2025-09-24,2025-09-20,Correios,118.77,3
269,PED-15020,2024-02-21,2024-02-25,2024-02-23,Jadlog,129.1,4
270,PED-68799,2025-11-04,2025-11-08,2025-11-11,Correios,127.57,1
271,PED-29597,2025-10-25,2025-10-31,2025-10-30,Total Express,22.68,3
272,PED-25970,2025-09-23,2025-09-28,2025-09-28,Correios,39.47,4
273,PED-75513,2025-12-31,2026-01-03,2025-12-31,Correios,91.42,2
274,PED-66261,2024-11-04,2024-11-08,2024-11-08,Correios,89.15,2
275,PED-34551,2024-04-14,2024-04-25,2024-04-27,Correios,77.1,3
276,PED-81313,2025-05-05,2025-05-08,2025-05-12,Correios,59.54,4
277,PED-60709,2026-01-06,2026-01-08,2026-01-14,Jadlog,41.48,1
278,PED-55193,2025-03-20,2025-03-27,2025-03-24,correios,104.75,1
279,PED-27486,2024-02-17,2024-02-28,2024-02-29,Correios,54.5,3
280,PED-99742,2024-11-02,2024-11-14,2024-11-12,Total Express,137.47,4
281,PED-27675,2026-01-14,2026-01-26,2026-01-24,Correios,102.52,4
282,PED-36422,2025-03-07,2025-03-09,2025-03-09,Correios,112.43,1
283,PED-77552,2025-05-10,2025-05-17,2025-05-17,Total Express,138.56,4
284,PED-94790,2025-04-10,2025-04-16,2025-04-12,correios,45.77,1
285,PED-45811,2025-05-15,2025-05-27,2025-05-28,Correios,113.51,4
286,PED-60678,2024-09-17,2024-09-25,2024-09-28,Jadlog,136.53,4
287,PED-78062,2025-12-10,2025-12-19,2025-12-20,Jadlog,113.75,4
288,PED-88964,2024-07-17,2024-07-20,2024-07-22,correios,80.0,3
289,PED-52981,2024-03-12,2024-03-15,2024-03-12,Jadlog,48.46,4
290,PED-56077,2025-03-28,2025-04-01,2025-04-04,Total Express,13.59,3
291,PED-45986,2025-07-21,2025-08-01,2025-08-03,Correios,17.91,4
292,PED-99051,2025-06-21,2025-06-28,2025-07-02,correios,133.77,2
293,PED-67432,2024-06-17,2024-06-28,2024-07-04,Correios,24.66,2
294,PED-57467,2025-11-10,2025-11-22,2025-11-23,Total Express,133.33,1
295,PED-99006,2025-06-29,2025-07-10,2025-07-08,Total Express,133.24,3
296,PED-85225,2024-04-01,2024-04-10,2024-04-07,correios,77.89,4
297,PED-46528,2025-01-06,2025-01-13,2025-01-19,correios,134.79,1
298,PED-77861,2025-01-30,2025-02-03,2025-02-06,Total Express,128.59,1
299,PED-68493,2024-05-20,2024-05-26,2024-05-26,correios,139.52,3
300,PED-26074,2025-09-01,2025-09-10,2025-09-09,correios,120.57,4
301,PED-21506,2024-02-04,2024-02-08,2024-02-11,Jadlog,96.15,1
302,PED-48058,2024-12-09,2024-12-19,2024-12-23,Jadlog,120.38,2
303,PED-39391,2025-11-19,2025-11-26,2025-11-30,Correios,138.04,2
304,PED-13445,2024-07-03,2024-07-08,2024-07-11,Jadlog,81.13,3
305,PED-27009,2025-07-23,2025-08-01,2025-08-05,Correios,16.68,4
306,PED-63843,2025-03-08,2025-03-17,2025-03-21,Total Express,116.68,1
307,PED-94192,2024-07-07,2024-07-11,2024-07-12,Correios,67.4,3
308,PED-93859,2024-11-20,2024-11-24,2024-11-28,correios,109.35,2
309,PED-17263,2024-09-15,2024-09-23,2024-09-27,Correios,76.39,3
310,PED-52291,2024-08-20,2024-08-24,2024-08-22,correios,53.68,3
311,PED-35729,2025-07-08,2025-07-11,2025-07-11,Jadlog,24.52,3
312,PED-22245,2025-11-19,2025-11-30,2025-12-04,correios,86.12,2
313,PED-91851,2026-01-08,2026-01-12,2026-01-18,Jadlog,119.21,1
314,PED-15958,2025-12-13,2025-12-15,2025-12-12,Jadlog,93.95,4
315,PED-13969,2025-12-27,2026-01-07,2026-01-13,Total Express,125.35,3
316,PED-73300,2025-01-09,2025-01-21,2025-01-21,correios,114.22,4
317,PED-19564,2024-07-08,2024-07-14,2024-07-17,Correios,28.87,4
318,PED-36741,2025-11-28,2025-12-07,2025-12-10,Jadlog,88.08,3
319,PED-62260,2024-04-15,2024-04-22,2024-04-23,correios,108.41,1
320,PED-71141,2024-11-09,2024-11-16,2024-11-15,Correios,43.31,2
321,PED-16632,2025-05-16,2025-05-20,2025-05-17,Jadlog,132.79,4
322,PED-52917,2024-03-23,2024-03-28,2024-03-26,Jadlog,33.06,2
323,PED-71186,2026-01-18,2026-01-27,2026-01-31,Total Express,124.04,4
324,PED-61543,2025-09-07,2025-09-09,2025-09-06,Total Express,135.6,2
325,PED-16377,2026-01-16,2026-01-27,2026-01-28,Correios,45.14,4
326,PED-11071,2024-04-01,2024-04-07,2024-04-11,Correios,64.88,3
327,PED-57964,2025-11-15,2025-11-22,2025-11-24,Correios,60.88,2
328,PED-47827,2024-09-10,2024-09-17,2024-09-21,Correios,59.0,4
329,PED-91689,2024-12-27,2025-01-06,2025-01-06,Correios,24.98,1
330,PED-54444,2024-07-11,2024-07-19,2024-07-20,Jadlog,107.66,2
331,PED-62610,2025-11-29,2025-12-10,2025-12-14,Correios,13.98,2
332,PED-78069,2025-04-10,2025-04-17,2025-04-20,Total Express,27.66,2
333,PED-51750,2024-08-18,2024-08-25,2024-08-30,correios,59.87,3
334,PED-76494,2025-11-21,2025-12-02,2025-12-03,Total Express,101.55,3
335,PED-58281,2025-12-07,2025-12-16,2025-12-12,Jadlog,96.94,4
336,PED-92478,2026-01-23,2026-02-03,2026-02-03,Correios,86.79,3
337,PED-85711,2024-12-26,2025-01-07,2025-01-12,correios,103.22,4
338,PED-92447,2024-02-27,2024-03-02,2024-03-06,Total Express,27.51,2
339,PED-24404,2024-08-16,2024-08-18,2024-08-23,correios,10.5,3
340,PED-64127,2025-08-12,2025-08-20,2025-08-18,correios,62.17,4
341,PED-77984,2025-05-12,2025-05-14,2025-05-12,correios,82.04,4
342,PED-51124,2025-09-21,2025-10-01,2025-10-03,correios,68.68,3
343,PED-98587,2025-04-28,2025-05-08,2025-05-09,Jadlog,88.53,2
344,PED-83149,2025-05-14,2025-05-19,2025-05-19,Jadlog,37.68,3
345,PED-74094,2024-02-04,2024-02-10,2024-02-09,Jadlog,71.33,3
346,PED-85166,2024-12-25,2024-12-31,2024-12-28,Total Express,126.24,4
347,PED-48070,2025-01-02,2025-01-09,2025-01-07,Correios,45.97,1
348,PED-95979,2024-10-28,2024-11-04,2024-11-07,Jadlog,106.65,2
349,PED-45537,2024-12-18,2024-12-23,2024-12-27,Jadlog,26.12,2
350,PED-97796,2025-07-18,2025-07-23,2025-07-19,correios,92.21,1
351,PED-53292,2024-03-01,2024-03-04,2024-03-06,Total Express,21.27,2
